exposure,group,kind,frame,d1_beta,d1_se,d1_p,d1_n,d1_pass,d2_beta,d2_se,d2_p,d2_n,d2_pass,d3_sibling,d3_beta_sibling,d3_p_sibling,d3_delta_abs_beta,d3_se_pooled,d3_pass,d4_beta_L0,d4_beta_L0_L1,d4_beta_L0_L1_AHPVT,d4_rel_shift,d4_sign_stable,d4_pass,d5_beta_c4wd90,d5_beta_c4wd60,d5_beta_c4numscr,d5_p_c4wd90,d5_p_c4wd60,d5_p_c4numscr,d5_sign_consistent,d5_n_sig_p10,d5_pass,d6_trend_rho,d6_monotone_sign,d6_betas_q2_q5,d6_pass,d7_overlap_min_p,d7_overlap_max_p,d7_eff_n,d7_pass,d8_saturated_loss_frac,d8_flag,d9_red_flag,d9_red_flag_msg,category,score,notes
IDGX2,peer_network,continuous,W4,0.009263823101364756,0.0037637136432113333,0.015366830758030803,3268,True,-0.051960453774393164,0.017705174535928004,0.004050622977977536,3278,False,ODGX2,0.014233524389399684,0.0006973343189320413,-0.0049697012880349275,0.005551687880952198,False,0.012515658361431035,0.010398612277387361,0.009263823101364756,0.3510251895448236,True,False,0.011458695437216377,0.021680333775370653,0.018059889989135193,0.29215782909858223,0.04647660557263178,0.012791886682647524,True,2,True,0.7999999999999999,True,"[0.0771096583309038, 0.07038454269784047, 0.08460570685917296, 0.09646227743842531]",True,0.11821600979792309,0.7846267788716084,1308,True,0.3239544895448955,True,False,,Drop,4,D2 fails hard (p<0.05)
ODGX2,self_network,continuous,W4,0.014233524389399684,0.004081139294292266,0.0006973343189320413,3268,True,-0.008990331058613975,0.023865461110486267,0.7071027123492679,3278,True,,,,,,,0.021427921709229695,0.017940954514831135,0.014233524389399684,0.5054543852250668,True,False,0.014078669082396546,0.03623762165069472,0.027599969549080238,0.24540500082403338,0.006148416560702641,0.002413349565363765,True,2,True,1.0,True,"[0.04021030822809442, 0.07266335456892621, 0.10569305922854487, 0.11124979797122886]",True,0.10604737257234657,0.8102960132871783,1313,True,0.3239544895448955,True,False,,Mixed,6,D4 unstable across adjustment sets
BCENT10X,peer_network,continuous,W4,0.09110200032960283,0.02101173567627698,3.1889470673007736e-05,3268,True,-0.048850710716887846,0.10297891553643188,0.6361554932885991,3278,True,ODGX2,0.014233524389399684,0.0006973343189320413,0.07686847594020316,0.02140440922027859,True,0.1270106427371798,0.10794575383270277,0.09110200032960283,0.3941586603769528,True,False,0.14125813586673291,0.22696282186705063,0.1407323892956078,0.021354979263157547,0.0007172509633066593,0.0017882392380921264,True,3,True,0.7999999999999999,True,"[0.04052754529294855, 0.03301020478598046, 0.06891920865514814, 0.15810368143857745]",True,0.10117603991968596,0.8254665709428985,1311,True,0.3239544895448955,True,False,,Mixed,8,D4 unstable across adjustment sets
REACH,peer_network,continuous,W4,2.695388349568835e-05,3.764088941822249e-05,0.47543241237833156,3268,False,-0.0003319465049352471,0.00014915497433586495,0.028049641317472007,3278,False,,,,,,,0.00011678437197933356,0.00011727587000338703,2.695388349568835e-05,3.3509822999029786,True,False,4.722044106443522e-05,-1.7782451340622415e-05,9.782620133248467e-05,0.6632310109573236,0.8635366798211592,0.19884448198267624,False,0,False,0.0,True,"[0.02464897762646774, 0.04418688698363996, 0.010613095568445152, 0.03246370218028513]",False,0.044199607564944815,0.8308027642583409,1302,True,0.3239544895448955,True,False,,Drop,1,D2 fails hard (p<0.05)
REACH3,peer_network,continuous,W4,0.0008002376007830823,0.00029166699557142396,0.007077242431084985,3268,True,-0.001794792880950179,0.0014317235369163237,0.2126018985185414,3278,True,,,,,,,0.001311289170425512,0.0011927964789603235,0.0008002376007830823,0.6386247898653273,True,False,0.0009069446805945866,0.001528217329719939,0.0018847299864115684,0.24330149468077344,0.1400772667445258,0.006453602578810003,True,1,False,0.7999999999999999,True,"[0.09771393246569171, 0.0765651294780289, 0.10306976021745776, 0.13332852229399442]",True,0.07230137646726678,0.8089967559101423,1311,True,0.3239544895448955,True,False,,Mixed,5,D4 unstable across adjustment sets
INFLDMN,peer_network,continuous,W4,-1.6076956591660637e-05,4.136600751660228e-05,0.6982718826162011,3268,False,-0.0004239736568714698,0.00016608361181507267,0.012032798633528463,3278,False,,,,,,,8.743011902319394e-05,8.547757133108717e-05,-1.6076956591660637e-05,6.4382257316378695,False,False,3.0375874783237188e-05,-0.00011722857833331956,-1.233816924101102e-05,0.7795259609057414,0.2656209664865703,0.89956596674614,False,0,False,-1.0,False,"[0.018873732700057856, 0.004262562927932645, 0.0035106940622463, -0.02510727289210584]",False,0.037606995772873936,0.889970838505474,1296,True,0.3239544895448955,True,False,,Drop,1,D2 fails hard (p<0.05)
PRXPREST,peer_network,continuous,W4,0.38251954083058654,0.303589853357886,0.21029279569278314,3006,False,0.6718693179752364,1.3622286225573987,0.6228275415268993,3013,True,,,,,,,0.288296855213965,0.20660493000255262,0.38251954083058654,0.45988398513200257,True,False,0.2133670016789273,1.4384975399062572,0.5598020156003362,0.751528788683598,0.06096488013008372,0.22191473126212946,True,1,False,0.7999999999999999,True,"[0.026346910403970563, 0.10220453628666774, 0.09806283229680215, 0.13769758258569925]",True,0.15043370796587247,0.779385735733558,1204,True,0.3239544895448955,True,False,,Weakened,4,D1 association null (p>=0.05)
IGDMEAN,peer_network,continuous,W4,-0.019096542742608025,0.010979056488044148,0.08471866584147336,2783,False,-0.04076157498945476,0.050339949920553996,0.4198145676346303,2787,True,,,,,,,-0.00018143831490121916,0.0018364003084710258,-0.019096542742608025,1.0961640194889133,False,False,-0.005645088253089764,-0.06907279807882293,-0.03320142398409077,0.8470713034467416,0.014223917081507276,0.2650928706000779,True,1,False,-1.0,True,"[-0.057029059648515255, -0.0783910720023013, -0.0837588248939175, -0.10492907525031756]",True,0.10169219719502462,0.9409371551309994,1110,True,0.3239544895448955,True,False,,Weakened,4,D1 association null (p>=0.05)
IDG_ZERO,isolation,binary,W4,-0.04415566413699804,0.05161591196824826,0.3941195278208274,3268,False,0.4179971616528012,0.21908349603489988,0.05896007898478972,3278,False,,,,,,,-0.07309171163180417,-0.06029023072505967,-0.04415566413699804,0.6553190414038095,True,False,-0.07229231332134087,-0.07715712024289614,-0.09407435792722016,0.6178869687335231,0.5503397133711418,0.4246003576405901,True,0,False,,,,,0.02625778786704403,0.30172477971747425,2419,True,0.3239544895448955,True,False,,Weakened,1,D1 association null (p>=0.05)
IDG_LEQ1,isolation,binary,W4,-0.08172976163380641,0.03351222703151875,0.016306547713099473,3268,True,0.30282353537581974,0.1576496537711842,0.05729110142357774,3278,False,,,,,,,-0.12120703062316239,-0.10118653927989961,-0.08172976163380641,0.48302195185929364,True,False,-0.13476483641917966,-0.21279345515971285,-0.11902850488645067,0.1653831126062184,0.015476079390732256,0.10951149600106302,True,1,False,,,,,0.08718831921130324,0.5425552082858934,3280,True,0.3239544895448955,True,False,,Mixed,2,"D2 weakly fails (p<=0.10), D4 unstable across adjustment sets"
HAVEBMF,isolation,binary,W4,-0.002249697149168426,0.03075380305371452,0.9418157752716769,3268,False,-0.05244858577358247,0.12770961482863596,0.6820872415820021,3278,True,HAVEBFF,0.02051930245546965,0.44953213249767465,-0.018269605306301225,0.04095050995996242,False,0.0014788337711554508,-0.00534693659077989,-0.002249697149168426,3.0340841052576373,False,False,-0.08933285512919965,0.027717401860906085,0.03552948777832409,0.29555967217295276,0.7537948061189352,0.538525816908642,False,0,False,,,,,0.3447048871387897,0.7007146097029606,3280,True,0.3239544895448955,True,False,,Drop,3,D3 fails: sibling stronger
HAVEBFF,isolation,binary,W4,0.02051930245546965,0.027039745999441648,0.44953213249767465,3268,False,-0.15477583720221766,0.13654830774399312,0.25942994878060177,3278,True,,,,,,,0.04316805085950805,0.033989898606405035,0.02051930245546965,1.1037776967901323,True,False,-0.017001620447004415,0.12889721085750364,0.01328271684449825,0.8282179569741344,0.0665322035739111,0.8484011445026933,False,1,False,,,,,0.347343091744066,0.7778937706629374,3280,True,0.3239544895448955,True,False,,Weakened,3,D1 association null (p>=0.05)
ESDEN,egonet,continuous,W4,0.018667584772717932,0.0636461856457172,0.7698337186179165,2783,False,0.2566695452798031,0.3456558518314101,0.4593038392810105,2787,True,,,,,,,0.0001433871839291237,-0.008134309471238194,0.018667584772717932,1.4357451470168878,False,False,0.1708840477620547,0.15107648176983943,-0.1627340746561536,0.32540374602506095,0.4533068927148445,0.27611505690495797,False,0,False,0.39999999999999997,False,"[-0.022006044962466793, 0.038514981008041814, 0.021485716447080257, 0.02608110492167702]",False,0.2447407965327165,0.7425694511171592,1123,True,0.3239544895448955,True,False,,Weakened,3,D1 association null (p>=0.05)
ERDEN,egonet,continuous,W4,-0.023422351216707,0.064314441444825,0.7164065473018866,3006,False,0.9166406561787228,0.2820692039638426,0.00152571235411747,3013,False,,,,,,,-0.019965202090825845,-0.017267403950037064,-0.023422351216707,0.26278093133022684,True,True,-0.06966428008043293,0.027958707467830357,-0.08028492959885332,0.6978631284766916,0.8874729451639083,0.5738665873926534,False,0,False,0.0,False,"[0.022143705685052924, 0.06549571774717615, -0.06308575873050908, 0.047496425531385354]",False,0.15045711465528117,0.6883400441275681,1215,True,0.3239544895448955,True,False,,Drop,3,D2 fails hard (p<0.05)
ESRDEN,egonet,continuous,W4,0.011834884252773941,0.09284800149032262,0.8988008311870876,3167,False,1.2345658622827758,0.449882446482264,0.007066599782723726,3174,False,,,,,,,-0.017738845976814306,-0.0015561586209168442,0.011834884252773941,2.498860960355954,False,False,0.09187253998551104,0.33963967360362535,-0.27448129669833654,0.7375155408730145,0.22052119503873446,0.165589435099321,False,0,False,0.0,False,"[0.011948920852651094, -0.035206853834945546, 0.051212967881506144, 0.004599222090362077]",False,0.31555950709015884,0.7133168713113555,1275,True,0.3239544895448955,True,False,,Drop,1,D2 fails hard (p<0.05)
RCHDEN,egonet,continuous,W4,0.2739154473069006,0.13919051030115354,0.05154920507930316,3268,False,0.1963933451352151,0.5850663966246029,0.7377424229169061,3278,True,,,,,,,0.3281131650460759,0.3200336886302697,0.2739154473069006,0.19786294738774282,True,True,0.41716603835498844,0.7418327151181239,0.3990200473016796,0.2711569647338594,0.04543369041571754,0.1497939075566559,True,1,False,-0.39999999999999997,True,"[0.1505370580693175, 0.12342177989169031, 0.15249691251153735, 0.11255364495066361]",False,0.11504477173751587,0.7696895443788171,1318,True,0.3239544895448955,True,False,,Weakened,5,D1 association null (p>=0.05)
FRIEND_N_NOMINEES,friendship_grid,continuous,W1_FULL,0.004831047488772612,0.004506025002797667,0.2856325005727509,4710,False,0.005289348036969774,0.026814994913055664,0.8439349953494522,4723,True,,,,,,,0.008603981038885733,0.009231769696184427,0.004831047488772612,0.9109250566547158,True,False,0.015972557586706224,0.002953103360538026,0.007720931040308953,0.16915076683500496,0.8258822293623149,0.4178006216466239,True,0,False,0.39999999999999997,True,"[-0.03220504206337327, -0.02220266639329656, -0.046735609053002204, -0.0005269578486700949]",False,0.12635526259881355,0.7290339828636279,1872,True,0.0,False,False,,Weakened,3,D1 association null (p>=0.05)
FRIEND_CONTACT_SUM,friendship_grid,continuous,W1_FULL,0.0013416131378427508,0.0017304521240459,0.43956187440065997,4710,False,-0.0036050576124889294,0.00920485515804184,0.6959551114635725,4723,True,,,,,,,0.003561312436506143,0.003957387450945649,0.0013416131378427508,1.949723239375053,True,False,0.005638026487551464,-0.0010270773122387136,0.0024990787593106726,0.22682770786829076,0.8567469666921133,0.5077172984550691,False,0,False,0.0,False,"[-0.0018853504860524943, 0.0483027294918403, -0.025728837062150817, 0.014594035370245773]",False,0.14077539589868956,0.8516538263697925,1870,True,0.0,False,False,,Weakened,3,D1 association null (p>=0.05)
FRIEND_DISCLOSURE_ANY,friendship_grid,binary,W1_FULL,0.03997526337853338,0.024422101613491044,0.10406241514198578,4710,False,-0.2686729367586711,0.10935967669365061,0.015327170663507417,4723,False,FRIEND_N_NOMINEES,0.004831047488772612,0.2856325005727509,0.03514421588976077,0.02483431715480656,True,0.09325563402136455,0.1185839280151543,0.03997526337853338,1.9664326884418621,True,False,0.12795718978987958,0.036072999100223616,0.05776378465200779,0.08379625456044804,0.6013168725710107,0.2866981965285318,True,1,False,,,,,0.08413053990180745,0.9833088789199391,4697,False,0.0,False,False,,Drop,2,D2 fails hard (p<0.05)
