variable,group,n,mean
BIO_SEX,out_network,2106,1.4981006647673314
BIO_SEX,in_network,4397,1.5246759153968614
AH_RAW,out_network,2010,63.21542288557214
AH_RAW,in_network,4213,65.54141941609305
H1GI4,out_network,2096,0.16364503816793893
H1GI4,in_network,4385,0.09122006841505131
H1GI6B,out_network,2096,0.20849236641221375
H1GI6B,in_network,4389,0.2693096377306904
H1GH1,out_network,2100,2.1614285714285715
H1GH1,in_network,4396,2.0725659690627842
PA12,out_network,1780,5.3387640449438205
PA12,in_network,3830,5.689295039164491
PA55,out_network,1557,45.71547848426461
PA55,in_network,3360,45.861607142857146
