spec,term,beta,p,rank,bh_threshold,q_BH,reject_at_q0.05
S04_BCENT10X,bcent10x,0.0911020003296028,3.1889470673007736e-05,1,0.0038461538461538464,0.00041456311874910057,True
S04_ODGX2_placebo,odgx2_placebo,0.0142335243893996,0.000697334318932,2,0.007692307692307693,0.004532673073058,True
S01C,idgx2,0.0092638231013647,0.0153668307580308,3,0.01153846153846154,0.05299628006757305,False
S05_LEQ1,idg_leq1,-0.0817297616338064,0.0163065477130994,4,0.015384615384615385,0.05299628006757305,False
S10_disclose,friend_disclose,0.0399752633785333,0.1040624151419857,5,0.019230769230769232,0.27056227936916283,False
S04_PRXPREST,prxprest,0.3825195408305865,0.2102927956927831,6,0.02307692307692308,0.42200575314239647,False
S06,school_belong,0.0035919378281917,0.2645392887953557,7,0.026923076923076925,0.42200575314239647,False
S10_nominees,friend_n,0.0048310474887726,0.2856325005727509,8,0.03076923076923077,0.42200575314239647,False
S01,idgx2,0.0114586954372163,0.2921578290985822,9,0.03461538461538462,0.42200575314239647,False
S05_ZERO,idg_zero,-0.044155664136998,0.3941195278208274,10,0.038461538461538464,0.5123553861670755,False
S10_contact,friend_contact,0.0013416131378427,0.4395618744006599,11,0.04230769230769231,0.5150517800765259,False
S04_REACH,reach,2.695388349568835e-05,0.4754324123783315,12,0.04615384615384616,0.5150517800765259,False
S07,lonely,0.0039438058163829,0.8447388022102849,13,0.05,0.8447388022102849,False
