stratification,friend_indicator,sex,sex_code,friend_present,friend_code,outcome,outcome_label,outcome_group,n_cell,adj_mean,adj_se,weight_col_used
BIO_SEX × HAVEBMF,HAVEBMF,male,1,no,0,W4_COG_COMP,W4 cognition composite,cognitive,573,-1.8431526469456576,0.2925480521699623,GSWGT4_2
BIO_SEX × HAVEBMF,HAVEBMF,male,1,no,0,H4BMI,S27 BMI—W4,cardiometabolic,568,24.589644869598715,2.385867210767507,GSWGT4_2
BIO_SEX × HAVEBMF,HAVEBMF,male,1,no,0,H4SBP,S27 SYSTOLIC BLOOD PRESSURE—W4,cardiometabolic,555,128.79132603611328,4.879606320256672,GSWGT4_2
BIO_SEX × HAVEBMF,HAVEBMF,male,1,no,0,H4DBP,S27 DIASTOLIC BLOOD PRESSURE—W4,cardiometabolic,555,79.5535799185463,3.195282833966567,GSWGT4_2
BIO_SEX × HAVEBMF,HAVEBMF,male,1,no,0,H4WAIST,S27 MEASURED WAIST (CM)—W4,cardiometabolic,570,90.12577731578324,5.856351803311036,GSWGT4_2
BIO_SEX × HAVEBMF,HAVEBMF,male,1,no,0,H4BMICLS,S27 BMI CLASS—W4,cardiometabolic,568,2.490527900722456,0.41926367072322157,GSWGT4_2
BIO_SEX × HAVEBMF,HAVEBMF,male,1,no,0,H5MN1,S13Q1 LAST MO NO CNTRL IMPORT THINGS—W5,mental_health,376,1.2469246252928503,0.5155869202600017,GSWGT4_2
BIO_SEX × HAVEBMF,HAVEBMF,male,1,no,0,H5MN2,S13Q2 LAST MO CONFID HANDLE PERS PBMS—W5,mental_health,373,4.1655326999728555,0.4681689103111438,GSWGT4_2
BIO_SEX × HAVEBMF,HAVEBMF,male,1,no,0,H5ID1,S5Q1 HOW IS GEN PHYSICAL HEALTH—W5,functional,388,1.536593695920641,0.4357195901968921,GSWGT4_2
BIO_SEX × HAVEBMF,HAVEBMF,male,1,no,0,H5ID4,S5Q4 LIMIT CLIMB SEV. FLIGHT STAIRS—W5,functional,388,0.9659221363829025,0.26818313655543474,GSWGT4_2
BIO_SEX × HAVEBMF,HAVEBMF,male,1,no,0,H5ID16,S5Q16 HOW OFTEN TROUBLE SLEEPING—W5,functional,386,-0.0035830663219210135,0.5453039885052441,GSWGT4_2
BIO_SEX × HAVEBMF,HAVEBMF,male,1,no,0,H5LM5,S3Q5 CURRENTLY WORK—W5,ses,386,0.981757407126068,0.07188707269805354,GSWGT4_2
BIO_SEX × HAVEBMF,HAVEBMF,male,1,no,0,H5EC1,S4Q1 INCOME PERS EARNINGS [W4–W5]—W5,ses,383,9.645810328713578,0.5413573770977254,GSWGT4_2
BIO_SEX × HAVEBMF,HAVEBMF,male,1,yes,1,W4_COG_COMP,W4 cognition composite,cognitive,1014,-1.5362940292155167,0.22712471772143555,GSWGT4_2
BIO_SEX × HAVEBMF,HAVEBMF,male,1,yes,1,H4BMI,S27 BMI—W4,cardiometabolic,1004,25.14749074457805,2.308537339083546,GSWGT4_2
BIO_SEX × HAVEBMF,HAVEBMF,male,1,yes,1,H4SBP,S27 SYSTOLIC BLOOD PRESSURE—W4,cardiometabolic,992,126.5008190279383,3.8397769598118647,GSWGT4_2
BIO_SEX × HAVEBMF,HAVEBMF,male,1,yes,1,H4DBP,S27 DIASTOLIC BLOOD PRESSURE—W4,cardiometabolic,992,76.39770781176277,2.771067242226057,GSWGT4_2
BIO_SEX × HAVEBMF,HAVEBMF,male,1,yes,1,H4WAIST,S27 MEASURED WAIST (CM)—W4,cardiometabolic,1010,93.44549147268351,5.696102080781217,GSWGT4_2
BIO_SEX × HAVEBMF,HAVEBMF,male,1,yes,1,H4BMICLS,S27 BMI CLASS—W4,cardiometabolic,1004,2.7166516028475223,0.39577073443532984,GSWGT4_2
BIO_SEX × HAVEBMF,HAVEBMF,male,1,yes,1,H5MN1,S13Q1 LAST MO NO CNTRL IMPORT THINGS—W5,mental_health,686,2.048313363385918,0.4166604431242559,GSWGT4_2
BIO_SEX × HAVEBMF,HAVEBMF,male,1,yes,1,H5MN2,S13Q2 LAST MO CONFID HANDLE PERS PBMS—W5,mental_health,685,4.110393640947366,0.37732175212359303,GSWGT4_2
BIO_SEX × HAVEBMF,HAVEBMF,male,1,yes,1,H5ID1,S5Q1 HOW IS GEN PHYSICAL HEALTH—W5,functional,699,2.9409657100894515,0.3927582752775866,GSWGT4_2
BIO_SEX × HAVEBMF,HAVEBMF,male,1,yes,1,H5ID4,S5Q4 LIMIT CLIMB SEV. FLIGHT STAIRS—W5,functional,699,1.5398024207356287,0.20428213599327752,GSWGT4_2
BIO_SEX × HAVEBMF,HAVEBMF,male,1,yes,1,H5ID16,S5Q16 HOW OFTEN TROUBLE SLEEPING—W5,functional,699,1.3874778275970356,0.4953704403451446,GSWGT4_2
BIO_SEX × HAVEBMF,HAVEBMF,male,1,yes,1,H5LM5,S3Q5 CURRENTLY WORK—W5,ses,699,1.0537744493545589,0.048700676303011066,GSWGT4_2
BIO_SEX × HAVEBMF,HAVEBMF,male,1,yes,1,H5EC1,S4Q1 INCOME PERS EARNINGS [W4–W5]—W5,ses,694,9.078102751109684,0.398661049557488,GSWGT4_2
BIO_SEX × HAVEBMF,HAVEBMF,female,2,no,0,W4_COG_COMP,W4 cognition composite,cognitive,1009,-0.5819421832328348,0.1940361038187237,GSWGT4_2
BIO_SEX × HAVEBMF,HAVEBMF,female,2,no,0,H4BMI,S27 BMI—W4,cardiometabolic,999,33.28859701719965,2.5470329127010025,GSWGT4_2
BIO_SEX × HAVEBMF,HAVEBMF,female,2,no,0,H4SBP,S27 SYSTOLIC BLOOD PRESSURE—W4,cardiometabolic,987,118.88469882092798,4.138372056412931,GSWGT4_2
BIO_SEX × HAVEBMF,HAVEBMF,female,2,no,0,H4DBP,S27 DIASTOLIC BLOOD PRESSURE—W4,cardiometabolic,987,74.64412540780394,3.282094918307702,GSWGT4_2
BIO_SEX × HAVEBMF,HAVEBMF,female,2,no,0,H4WAIST,S27 MEASURED WAIST (CM)—W4,cardiometabolic,1005,110.05767894382089,5.7747142305695975,GSWGT4_2
BIO_SEX × HAVEBMF,HAVEBMF,female,2,no,0,H4BMICLS,S27 BMI CLASS—W4,cardiometabolic,999,3.9819396139388523,0.4369443748704875,GSWGT4_2
BIO_SEX × HAVEBMF,HAVEBMF,female,2,no,0,H5MN1,S13Q1 LAST MO NO CNTRL IMPORT THINGS—W5,mental_health,758,2.0947701540909938,0.30583438504038535,GSWGT4_2
BIO_SEX × HAVEBMF,HAVEBMF,female,2,no,0,H5MN2,S13Q2 LAST MO CONFID HANDLE PERS PBMS—W5,mental_health,756,4.247188323415312,0.2703223261717688,GSWGT4_2
BIO_SEX × HAVEBMF,HAVEBMF,female,2,no,0,H5ID1,S5Q1 HOW IS GEN PHYSICAL HEALTH—W5,functional,777,2.3453822624051086,0.3035192716200817,GSWGT4_2
BIO_SEX × HAVEBMF,HAVEBMF,female,2,no,0,H5ID4,S5Q4 LIMIT CLIMB SEV. FLIGHT STAIRS—W5,functional,777,1.0966992667512234,0.17111637836867571,GSWGT4_2
BIO_SEX × HAVEBMF,HAVEBMF,female,2,no,0,H5ID16,S5Q16 HOW OFTEN TROUBLE SLEEPING—W5,functional,777,1.7535624914882175,0.49422231412603124,GSWGT4_2
BIO_SEX × HAVEBMF,HAVEBMF,female,2,no,0,H5LM5,S3Q5 CURRENTLY WORK—W5,ses,775,1.1522380750003436,0.05970062668205906,GSWGT4_2
