stratification,friend_indicator,sex,outcome,outcome_label,outcome_group,n_present,n_absent,exposure,label,beta,se,p,sig
BIO_SEX × HAVEBFF,HAVEBFF,female,H4BMI,S27 BMI—W4,cardiometabolic,1343,548,HAVEBFF-present-vs-absent (female),HAVEBFF+ vs HAVEBFF- (female) -> H4BMI,-8.2946593908279,3.7798373178372,0.028203162353238165,True
BIO_SEX × HAVEBFF,HAVEBFF,female,H4BMICLS,S27 BMI CLASS—W4,cardiometabolic,1343,548,HAVEBFF-present-vs-absent (female),HAVEBFF+ vs HAVEBFF- (female) -> H4BMICLS,-1.1935876977214632,0.6652673950991065,0.07278966180300861,False
BIO_SEX × HAVEBFF,HAVEBFF,female,H4DBP,S27 DIASTOLIC BLOOD PRESSURE—W4,cardiometabolic,1337,541,HAVEBFF-present-vs-absent (female),HAVEBFF+ vs HAVEBFF- (female) -> H4DBP,-8.28727381899239,6.300006024674114,0.1883623952764779,False
BIO_SEX × HAVEBFF,HAVEBFF,female,H4SBP,S27 SYSTOLIC BLOOD PRESSURE—W4,cardiometabolic,1337,541,HAVEBFF-present-vs-absent (female),HAVEBFF+ vs HAVEBFF- (female) -> H4SBP,-11.317865569386214,7.079966935540226,0.10991483513044153,False
BIO_SEX × HAVEBFF,HAVEBFF,female,H4WAIST,S27 MEASURED WAIST (CM)—W4,cardiometabolic,1351,549,HAVEBFF-present-vs-absent (female),HAVEBFF+ vs HAVEBFF- (female) -> H4WAIST,-19.12066552854604,8.431199994487159,0.023338577633443824,True
BIO_SEX × HAVEBFF,HAVEBFF,female,H5EC1,S4Q1 INCOME PERS EARNINGS [W4–W5]—W5,ses,1078,418,HAVEBFF-present-vs-absent (female),HAVEBFF+ vs HAVEBFF- (female) -> H5EC1,-0.5547206453930684,0.7265184997810491,0.4451457571608519,False
BIO_SEX × HAVEBFF,HAVEBFF,female,H5ID1,S5Q1 HOW IS GEN PHYSICAL HEALTH—W5,functional,1091,423,HAVEBFF-present-vs-absent (female),HAVEBFF+ vs HAVEBFF- (female) -> H5ID1,0.9827412497773049,0.4176574154716729,0.01862343137529443,True
BIO_SEX × HAVEBFF,HAVEBFF,female,H5ID16,S5Q16 HOW OFTEN TROUBLE SLEEPING—W5,functional,1092,423,HAVEBFF-present-vs-absent (female),HAVEBFF+ vs HAVEBFF- (female) -> H5ID16,1.0350764272358077,0.7059969462462943,0.14261552685024514,False
BIO_SEX × HAVEBFF,HAVEBFF,female,H5ID4,S5Q4 LIMIT CLIMB SEV. FLIGHT STAIRS—W5,functional,1091,423,HAVEBFF-present-vs-absent (female),HAVEBFF+ vs HAVEBFF- (female) -> H5ID4,0.4202526930998707,0.30345065248121883,0.16607913229274018,False
BIO_SEX × HAVEBFF,HAVEBFF,female,H5LM5,S3Q5 CURRENTLY WORK—W5,ses,1089,422,HAVEBFF-present-vs-absent (female),HAVEBFF+ vs HAVEBFF- (female) -> H5LM5,0.12719938674276343,0.08698384145412906,0.14364983825946376,False
BIO_SEX × HAVEBFF,HAVEBFF,female,H5MN1,S13Q1 LAST MO NO CNTRL IMPORT THINGS—W5,mental_health,1068,416,HAVEBFF-present-vs-absent (female),HAVEBFF+ vs HAVEBFF- (female) -> H5MN1,1.269069708235803,0.5586552659191318,0.02310760715106408,True
