exposure,outcome,outcome_group,label,stratification,sex,rr_au,rr_uy,B,rr_observed,explains_away
HAVEBFF-present-vs-absent (female),H4BMI,cardiometabolic,HAVEBFF+ vs HAVEBFF- (female) -> H4BMI,BIO_SEX × HAVEBFF,female,1.5,1.5,1.125,1.6553409874110503,False
HAVEBFF-present-vs-absent (female),H4BMI,cardiometabolic,HAVEBFF+ vs HAVEBFF- (female) -> H4BMI,BIO_SEX × HAVEBFF,female,1.5,2.0,1.2,1.6553409874110503,False
HAVEBFF-present-vs-absent (female),H4BMI,cardiometabolic,HAVEBFF+ vs HAVEBFF- (female) -> H4BMI,BIO_SEX × HAVEBFF,female,1.5,3.0,1.2857142857142858,1.6553409874110503,False
HAVEBFF-present-vs-absent (female),H4BMI,cardiometabolic,HAVEBFF+ vs HAVEBFF- (female) -> H4BMI,BIO_SEX × HAVEBFF,female,1.5,5.0,1.3636363636363635,1.6553409874110503,False
HAVEBFF-present-vs-absent (female),H4BMI,cardiometabolic,HAVEBFF+ vs HAVEBFF- (female) -> H4BMI,BIO_SEX × HAVEBFF,female,2.0,1.5,1.2,1.6553409874110503,False
HAVEBFF-present-vs-absent (female),H4BMI,cardiometabolic,HAVEBFF+ vs HAVEBFF- (female) -> H4BMI,BIO_SEX × HAVEBFF,female,2.0,2.0,1.3333333333333333,1.6553409874110503,False
HAVEBFF-present-vs-absent (female),H4BMI,cardiometabolic,HAVEBFF+ vs HAVEBFF- (female) -> H4BMI,BIO_SEX × HAVEBFF,female,2.0,3.0,1.5,1.6553409874110503,False
HAVEBFF-present-vs-absent (female),H4BMI,cardiometabolic,HAVEBFF+ vs HAVEBFF- (female) -> H4BMI,BIO_SEX × HAVEBFF,female,2.0,5.0,1.6666666666666667,1.6553409874110503,True
HAVEBFF-present-vs-absent (female),H4BMI,cardiometabolic,HAVEBFF+ vs HAVEBFF- (female) -> H4BMI,BIO_SEX × HAVEBFF,female,3.0,1.5,1.2857142857142858,1.6553409874110503,False
HAVEBFF-present-vs-absent (female),H4BMI,cardiometabolic,HAVEBFF+ vs HAVEBFF- (female) -> H4BMI,BIO_SEX × HAVEBFF,female,3.0,2.0,1.5,1.6553409874110503,False
HAVEBFF-present-vs-absent (female),H4BMI,cardiometabolic,HAVEBFF+ vs HAVEBFF- (female) -> H4BMI,BIO_SEX × HAVEBFF,female,3.0,3.0,1.8,1.6553409874110503,True
