label,exposure,outcome,binarisation,eta_1,eta_0,ate_perturbed,ate_baseline,ate_shift
HAVEBFF+ vs HAVEBFF- (female) -> H5MN2,HAVEBFF,H5MN2,raw-binary,0.8,0.8,0.8834545857434352,0.027531531999315163,0.85592305374412
HAVEBFF+ vs HAVEBFF- (female) -> H5MN2,HAVEBFF,H5MN2,raw-binary,0.8,0.9,0.5958937612398624,0.027531531999315163,0.5683622292405472
HAVEBFF+ vs HAVEBFF- (female) -> H5MN2,HAVEBFF,H5MN2,raw-binary,0.8,1.0,0.30833293673628964,0.027531531999315163,0.28080140473697446
HAVEBFF+ vs HAVEBFF- (female) -> H5MN2,HAVEBFF,H5MN2,raw-binary,0.8,1.1,0.02077211223271661,0.027531531999315163,-0.006759419766598555
HAVEBFF+ vs HAVEBFF- (female) -> H5MN2,HAVEBFF,H5MN2,raw-binary,0.8,1.2,-0.26678871227085577,0.027531531999315163,-0.29432024427017095
HAVEBFF+ vs HAVEBFF- (female) -> H5MN2,HAVEBFF,H5MN2,raw-binary,0.9,0.8,0.7274538053340048,0.027531531999315163,0.6999222733346897
HAVEBFF+ vs HAVEBFF- (female) -> H5MN2,HAVEBFF,H5MN2,raw-binary,0.9,0.9,0.4398929808304321,0.027531531999315163,0.4123614488311169
HAVEBFF+ vs HAVEBFF- (female) -> H5MN2,HAVEBFF,H5MN2,raw-binary,0.9,1.0,0.15233215632685937,0.027531531999315163,0.12480062432754421
HAVEBFF+ vs HAVEBFF- (female) -> H5MN2,HAVEBFF,H5MN2,raw-binary,0.9,1.1,-0.1352286681767136,0.027531531999315163,-0.16276020017602877
HAVEBFF+ vs HAVEBFF- (female) -> H5MN2,HAVEBFF,H5MN2,raw-binary,0.9,1.2,-0.42278949268028604,0.027531531999315163,-0.4503210246796012
HAVEBFF+ vs HAVEBFF- (female) -> H5MN2,HAVEBFF,H5MN2,raw-binary,1.0,0.8,0.6026531810064606,0.027531531999315163,0.5751216490071455
HAVEBFF+ vs HAVEBFF- (female) -> H5MN2,HAVEBFF,H5MN2,raw-binary,1.0,0.9,0.3150923565028879,0.027531531999315163,0.28756082450357273
HAVEBFF+ vs HAVEBFF- (female) -> H5MN2,HAVEBFF,H5MN2,raw-binary,1.0,1.0,0.027531531999315163,0.027531531999315163,0.0
HAVEBFF+ vs HAVEBFF- (female) -> H5MN2,HAVEBFF,H5MN2,raw-binary,1.0,1.1,-0.2600292925042578,0.027531531999315163,-0.287560824503573
HAVEBFF+ vs HAVEBFF- (female) -> H5MN2,HAVEBFF,H5MN2,raw-binary,1.0,1.2,-0.5475901170078302,0.027531531999315163,-0.5751216490071454
