sex,exposure,outcome,outcome_label,outcome_group,n,beta,se,p
male,FRIEND_N_NOMINEES,W4_COG_COMP,W4 cognition composite,cognitive,2158,0.010014386082690521,0.006360001775794019,0.11778199108973234
male,FRIEND_N_NOMINEES,H4BMI,S27 BMI—W4,cardiometabolic,2138,-0.034447502788692644,0.06310830285340313,0.5861062972119262
male,FRIEND_N_NOMINEES,H4SBP,S27 SYSTOLIC BLOOD PRESSURE—W4,cardiometabolic,2106,0.22123107231247255,0.11263202642518141,0.05164115967497948
male,FRIEND_N_NOMINEES,H4DBP,S27 DIASTOLIC BLOOD PRESSURE—W4,cardiometabolic,2106,0.14986480619136222,0.0901782354594505,0.09894774457954122
male,FRIEND_N_NOMINEES,H4WAIST,S27 MEASURED WAIST (CM)—W4,cardiometabolic,2150,-0.0752036017077145,0.15534488779064293,0.6291242342182972
male,FRIEND_N_NOMINEES,H4BMICLS,S27 BMI CLASS—W4,cardiometabolic,2138,-0.005499075174993245,0.012332057020908683,0.6563989103161505
male,FRIEND_N_NOMINEES,H5MN1,S13Q1 LAST MO NO CNTRL IMPORT THINGS—W5,mental_health,1435,-0.010621567383628266,0.014005427790040536,0.4495906494198168
male,FRIEND_N_NOMINEES,H5MN2,S13Q2 LAST MO CONFID HANDLE PERS PBMS—W5,mental_health,1431,0.017536632309088116,0.01006825672036209,0.083913228581107
male,FRIEND_N_NOMINEES,H5ID1,S5Q1 HOW IS GEN PHYSICAL HEALTH—W5,functional,1462,-0.00946809077917397,0.012260588012271586,0.4413751693434198
male,FRIEND_N_NOMINEES,H5ID4,S5Q4 LIMIT CLIMB SEV. FLIGHT STAIRS—W5,functional,1462,-0.0028822669653491314,0.005928235915465024,0.6276488824965335
male,FRIEND_N_NOMINEES,H5ID16,S5Q16 HOW OFTEN TROUBLE SLEEPING—W5,functional,1461,-0.0027018186798123886,0.014186250442166039,0.8492510001031618
male,FRIEND_N_NOMINEES,H5LM5,S3Q5 CURRENTLY WORK—W5,ses,1519,-0.011000861321552114,0.0033740060838183274,0.0014201851296379783
male,FRIEND_N_NOMINEES,H5EC1,S4Q1 INCOME PERS EARNINGS [W4–W5]—W5,ses,1511,0.10375099181031089,0.037355550323241546,0.006290715685699124
male,FRIEND_CONTACT_SUM,W4_COG_COMP,W4 cognition composite,cognitive,2157,0.0035588139336032274,0.002272026190070734,0.11969504515577024
male,FRIEND_CONTACT_SUM,H4BMI,S27 BMI—W4,cardiometabolic,2137,-0.031465631481035386,0.02528085420138675,0.2155022747457375
male,FRIEND_CONTACT_SUM,H4SBP,S27 SYSTOLIC BLOOD PRESSURE—W4,cardiometabolic,2105,0.08351243372558056,0.05585918416178086,0.1373241834829047
male,FRIEND_CONTACT_SUM,H4DBP,S27 DIASTOLIC BLOOD PRESSURE—W4,cardiometabolic,2105,0.04291414120662216,0.043933354077835225,0.33048191727025783
male,FRIEND_CONTACT_SUM,H4WAIST,S27 MEASURED WAIST (CM)—W4,cardiometabolic,2149,-0.08748474466668019,0.060320042469922855,0.14937140598154344
