exposure,outcome,outcome_label,outcome_group,adj_tier,with_reach3,n,beta,se,p,ci_lo,ci_hi,sig,beta_reach3,p_reach3
RCHDEN,W4_COG_COMP,W4 cognitive composite,cognitive,L0+L1+AHPVT,True,3268,0.2112628930360974,0.14197530115693083,0.13955430542039507,-0.0700429670848206,0.4925687531570154,False,0.0006290984423605665,0.03344161426014875
RCHDEN,H5MN1,S13Q1 LAST MO NO CNTRL IMPORT THINGS—W5,mental_health,L0+L1,True,2489,0.02805596598095922,0.20361471722999705,0.8906542143588896,-0.3753804958325658,0.4314924277944842,False,-0.0006302156161843049,0.25156675612093454
RCHDEN,H5MN2,S13Q2 LAST MO CONFID HANDLE PERS PBMS—W5,mental_health,L0+L1,True,2482,0.0067061495251131975,0.2005437598257206,0.9733833685732581,-0.3906456038428927,0.40405790289311905,False,0.00029264334284133354,0.5102583673713005
RCHDEN,H5ID16,S5Q16 HOW OFTEN TROUBLE SLEEPING—W5,functional,L0+L1,True,2541,0.08319937141886974,0.2346016755017382,0.723525442972645,-0.3816337761430313,0.5480325189807708,False,5.712884258297771e-05,0.9309813787341998
RCHDEN,H5LM5,S3Q5 CURRENTLY WORK—W5,ses,L0+L1,True,2537,-0.01403993979901555,0.08965113057038979,0.8758370158760419,-0.19167216308298138,0.16359228348495028,False,-0.00027173340276778985,0.21821831361008817
RCHDEN,H5EC1,S4Q1 INCOME PERS EARNINGS [W4–W5]—W5,ses,L0+L1,True,2515,0.342298504493341,0.8181524591452765,0.6764705603377186,-1.278765718328848,1.9633627273155296,False,0.0068311689707795855,0.0003940375226154756
ESDEN,W4_COG_COMP,W4 cognitive composite,cognitive,L0+L1+AHPVT,True,2783,0.12006565467320676,0.08761527749061705,0.1733108069776412,-0.05353278669926825,0.2936640960456818,False,0.0008598341660049627,0.06251826809337359
ESDEN,H5MN1,S13Q1 LAST MO NO CNTRL IMPORT THINGS—W5,mental_health,L0+L1,True,2154,-0.03704495230235926,0.14067102467509943,0.7927688727001256,-0.31576655576337054,0.241676651158652,False,-0.0006808114648394266,0.3617869208854967
ESDEN,H5MN2,S13Q2 LAST MO CONFID HANDLE PERS PBMS—W5,mental_health,L0+L1,True,2151,0.056133366402533455,0.13556933125606443,0.6796245747217643,-0.21247988550986197,0.3247466183149289,False,0.0002602560811562843,0.7019145695531542
ESDEN,H5ID16,S5Q16 HOW OFTEN TROUBLE SLEEPING—W5,functional,L0+L1,True,2195,-0.17619608821211552,0.18069992065798723,0.33162407678557576,-0.5342298179542361,0.18183764153000503,False,-0.0009057905479073667,0.34696906767770713
ESDEN,H5LM5,S3Q5 CURRENTLY WORK—W5,ses,L0+L1,True,2192,-0.09553082294182902,0.04649340030218497,0.04223315173479231,-0.18765153587833983,-0.003410110005318226,True,-0.0005078050353365176,0.04846012187059686
ESDEN,H5EC1,S4Q1 INCOME PERS EARNINGS [W4–W5]—W5,ses,L0+L1,True,2174,1.5152396151470233,0.44234438482004135,0.0008587534526885826,0.6387909185957952,2.3916883116982515,True,0.010431903930883953,1.9186580345431114e-05
ERDEN,W4_COG_COMP,W4 cognitive composite,cognitive,L0+L1+AHPVT,True,3006,-0.007126076582086267,0.06584408995102282,0.9140096592838944,-0.13758770058722306,0.12333554742305051,False,0.0006729421081050576,0.018655074176918897
ERDEN,H5MN1,S13Q1 LAST MO NO CNTRL IMPORT THINGS—W5,mental_health,L0+L1,True,2296,0.12161423094843393,0.13631120806086153,0.3742089140636907,-0.14846895475509692,0.3916974166519648,False,-0.00021848123811896495,0.715243537235255
ERDEN,H5MN2,S13Q2 LAST MO CONFID HANDLE PERS PBMS—W5,mental_health,L0+L1,True,2290,-0.08273415703724296,0.11096335831265573,0.45747168695198437,-0.3025938276819594,0.1371255136074735,False,0.00020919632534362659,0.6505638604126971
ERDEN,H5ID16,S5Q16 HOW OFTEN TROUBLE SLEEPING—W5,functional,L0+L1,True,2346,0.062001195153134625,0.15059614350214345,0.6813424396207006,-0.2363857590110799,0.36038814931734914,False,0.0002327175603786613,0.7181893624404899
ERDEN,H5LM5,S3Q5 CURRENTLY WORK—W5,ses,L0+L1,True,2343,0.058359848784732014,0.04084538173917592,0.15584498108710587,-0.022570039361134477,0.1392897369305985,False,-0.00020652449466519542,0.3042545167873599
ERDEN,H5EC1,S4Q1 INCOME PERS EARNINGS [W4–W5]—W5,ses,L0+L1,True,2323,-0.04999716340248697,0.34436146038949533,0.884823375568623,-0.7323052551478763,0.6323109283429024,False,0.006288064755717833,0.0005078009233701414
ESRDEN,W4_COG_COMP,W4 cognitive composite,cognitive,L0+L1+AHPVT,True,3167,0.16232261319924116,0.10988124432309809,0.14241375873253823,-0.05539298728608244,0.38003821368456475,False,0.001006854953783603,0.005601190759293532
ESRDEN,H5MN1,S13Q1 LAST MO NO CNTRL IMPORT THINGS—W5,mental_health,L0+L1,True,2419,0.12484907799637732,0.19232269917740696,0.5175610336819639,-0.25621369751467127,0.5059118535074258,False,-0.00029809391172678986,0.6506941732902551
ESRDEN,H5MN2,S13Q2 LAST MO CONFID HANDLE PERS PBMS—W5,mental_health,L0+L1,True,2413,-0.11274925179865947,0.17759072183977692,0.5267998638786494,-0.4646225026355314,0.23912399903821246,False,-1.0589859310479845e-05,0.9844996455101007
ESRDEN,H5ID16,S5Q16 HOW OFTEN TROUBLE SLEEPING—W5,functional,L0+L1,True,2469,-0.08942695310988058,0.25673615858255017,0.7282519481233681,-0.598116741584959,0.4192628353651978,False,-0.00017127731098564946,0.8096556996524872
ESRDEN,H5LM5,S3Q5 CURRENTLY WORK—W5,ses,L0+L1,True,2466,0.014861362830365876,0.0591697769378817,0.8021469602689837,-0.10237596548687095,0.1320986911476027,False,-0.0002509544771406699,0.22007584823514623
ESRDEN,H5EC1,S4Q1 INCOME PERS EARNINGS [W4–W5]—W5,ses,L0+L1,True,2444,1.2833990980830217,0.6187811918828104,0.040364669918312814,0.05736348491085419,2.509434711255189,True,0.008522402710390762,1.9677053979851732e-06
