exposure,outcome,outcome_group,label,rr_au,rr_uy,B,rr_observed,explains_away
ESDEN,H5LM5,ses,ESDEN -> H5LM5,1.5,1.5,1.125,1.0448992868337401,True
ESDEN,H5LM5,ses,ESDEN -> H5LM5,1.5,2.0,1.2,1.0448992868337401,True
ESDEN,H5LM5,ses,ESDEN -> H5LM5,1.5,3.0,1.2857142857142858,1.0448992868337401,True
ESDEN,H5LM5,ses,ESDEN -> H5LM5,1.5,5.0,1.3636363636363635,1.0448992868337401,True
ESDEN,H5LM5,ses,ESDEN -> H5LM5,2.0,1.5,1.2,1.0448992868337401,True
ESDEN,H5LM5,ses,ESDEN -> H5LM5,2.0,2.0,1.3333333333333333,1.0448992868337401,True
ESDEN,H5LM5,ses,ESDEN -> H5LM5,2.0,3.0,1.5,1.0448992868337401,True
ESDEN,H5LM5,ses,ESDEN -> H5LM5,2.0,5.0,1.6666666666666667,1.0448992868337401,True
ESDEN,H5LM5,ses,ESDEN -> H5LM5,3.0,1.5,1.2857142857142858,1.0448992868337401,True
ESDEN,H5LM5,ses,ESDEN -> H5LM5,3.0,2.0,1.5,1.0448992868337401,True
ESDEN,H5LM5,ses,ESDEN -> H5LM5,3.0,3.0,1.8,1.0448992868337401,True
ESDEN,H5LM5,ses,ESDEN -> H5LM5,3.0,5.0,2.142857142857143,1.0448992868337401,True
ESDEN,H5LM5,ses,ESDEN -> H5LM5,5.0,1.5,1.3636363636363635,1.0448992868337401,True
ESDEN,H5LM5,ses,ESDEN -> H5LM5,5.0,2.0,1.6666666666666667,1.0448992868337401,True
ESDEN,H5LM5,ses,ESDEN -> H5LM5,5.0,3.0,2.142857142857143,1.0448992868337401,True
ESDEN,H5LM5,ses,ESDEN -> H5LM5,5.0,5.0,2.7777777777777777,1.0448992868337401,True
ESDEN,H5EC1,ses,ESDEN -> H5EC1,1.5,1.5,1.125,1.088674828783525,True
ESDEN,H5EC1,ses,ESDEN -> H5EC1,1.5,2.0,1.2,1.088674828783525,True
ESDEN,H5EC1,ses,ESDEN -> H5EC1,1.5,3.0,1.2857142857142858,1.088674828783525,True
ESDEN,H5EC1,ses,ESDEN -> H5EC1,1.5,5.0,1.3636363636363635,1.088674828783525,True
ESDEN,H5EC1,ses,ESDEN -> H5EC1,2.0,1.5,1.2,1.088674828783525,True
ESDEN,H5EC1,ses,ESDEN -> H5EC1,2.0,2.0,1.3333333333333333,1.088674828783525,True
ESDEN,H5EC1,ses,ESDEN -> H5EC1,2.0,3.0,1.5,1.088674828783525,True
ESDEN,H5EC1,ses,ESDEN -> H5EC1,2.0,5.0,1.6666666666666667,1.088674828783525,True
ESDEN,H5EC1,ses,ESDEN -> H5EC1,3.0,1.5,1.2857142857142858,1.088674828783525,True
ESDEN,H5EC1,ses,ESDEN -> H5EC1,3.0,2.0,1.5,1.088674828783525,True
ESDEN,H5EC1,ses,ESDEN -> H5EC1,3.0,3.0,1.8,1.088674828783525,True
ESDEN,H5EC1,ses,ESDEN -> H5EC1,3.0,5.0,2.142857142857143,1.088674828783525,True
ESDEN,H5EC1,ses,ESDEN -> H5EC1,5.0,1.5,1.3636363636363635,1.088674828783525,True
ESDEN,H5EC1,ses,ESDEN -> H5EC1,5.0,2.0,1.6666666666666667,1.088674828783525,True
ESDEN,H5EC1,ses,ESDEN -> H5EC1,5.0,3.0,2.142857142857143,1.088674828783525,True
ESDEN,H5EC1,ses,ESDEN -> H5EC1,5.0,5.0,2.7777777777777777,1.088674828783525,True
ESRDEN,H5EC1,ses,ESRDEN -> H5EC1,1.5,1.5,1.125,1.0527880115588257,True
ESRDEN,H5EC1,ses,ESRDEN -> H5EC1,1.5,2.0,1.2,1.0527880115588257,True
ESRDEN,H5EC1,ses,ESRDEN -> H5EC1,1.5,3.0,1.2857142857142858,1.0527880115588257,True
ESRDEN,H5EC1,ses,ESRDEN -> H5EC1,1.5,5.0,1.3636363636363635,1.0527880115588257,True
ESRDEN,H5EC1,ses,ESRDEN -> H5EC1,2.0,1.5,1.2,1.0527880115588257,True
ESRDEN,H5EC1,ses,ESRDEN -> H5EC1,2.0,2.0,1.3333333333333333,1.0527880115588257,True
ESRDEN,H5EC1,ses,ESRDEN -> H5EC1,2.0,3.0,1.5,1.0527880115588257,True
ESRDEN,H5EC1,ses,ESRDEN -> H5EC1,2.0,5.0,1.6666666666666667,1.0527880115588257,True
ESRDEN,H5EC1,ses,ESRDEN -> H5EC1,3.0,1.5,1.2857142857142858,1.0527880115588257,True
ESRDEN,H5EC1,ses,ESRDEN -> H5EC1,3.0,2.0,1.5,1.0527880115588257,True
ESRDEN,H5EC1,ses,ESRDEN -> H5EC1,3.0,3.0,1.8,1.0527880115588257,True
ESRDEN,H5EC1,ses,ESRDEN -> H5EC1,3.0,5.0,2.142857142857143,1.0527880115588257,True
ESRDEN,H5EC1,ses,ESRDEN -> H5EC1,5.0,1.5,1.3636363636363635,1.0527880115588257,True
ESRDEN,H5EC1,ses,ESRDEN -> H5EC1,5.0,2.0,1.6666666666666667,1.0527880115588257,True
ESRDEN,H5EC1,ses,ESRDEN -> H5EC1,5.0,3.0,2.142857142857143,1.0527880115588257,True
ESRDEN,H5EC1,ses,ESRDEN -> H5EC1,5.0,5.0,2.7777777777777777,1.0527880115588257,True
