label,exposure,outcome,binarisation,eta_1,eta_0,ate_perturbed,ate_baseline,ate_shift
ESDEN -> H5EC1,ESDEN,H5EC1,top-quintile-vs-bottom,0.8,0.8,2.209652690158238,0.5798190716471664,1.6298336185110713
ESDEN -> H5EC1,ESDEN,H5EC1,top-quintile-vs-bottom,0.8,0.9,1.8664773292079266,0.5798190716471664,1.2866582575607604
ESDEN -> H5EC1,ESDEN,H5EC1,top-quintile-vs-bottom,0.8,1.0,1.5233019682576148,0.5798190716471664,0.9434828966104484
ESDEN -> H5EC1,ESDEN,H5EC1,top-quintile-vs-bottom,0.8,1.1,1.1801266073073027,0.5798190716471664,0.6003075356601363
ESDEN -> H5EC1,ESDEN,H5EC1,top-quintile-vs-bottom,0.8,1.2,0.8369512463569915,0.5798190716471664,0.2571321747098251
ESDEN -> H5EC1,ESDEN,H5EC1,top-quintile-vs-bottom,0.9,0.8,1.6854955253746555,0.5798190716471664,1.1056764537274892
ESDEN -> H5EC1,ESDEN,H5EC1,top-quintile-vs-bottom,0.9,0.9,1.342320164424344,0.5798190716471664,0.7625010927771777
ESDEN -> H5EC1,ESDEN,H5EC1,top-quintile-vs-bottom,0.9,1.0,0.9991448034740325,0.5798190716471664,0.41932573182686605
ESDEN -> H5EC1,ESDEN,H5EC1,top-quintile-vs-bottom,0.9,1.1,0.6559694425237204,0.5798190716471664,0.07615037087655396
ESDEN -> H5EC1,ESDEN,H5EC1,top-quintile-vs-bottom,0.9,1.2,0.3127940815734092,0.5798190716471664,-0.2670249900737572
ESDEN -> H5EC1,ESDEN,H5EC1,top-quintile-vs-bottom,1.0,0.8,1.26616979354779,0.5798190716471664,0.6863507219006236
ESDEN -> H5EC1,ESDEN,H5EC1,top-quintile-vs-bottom,1.0,0.9,0.922994432597478,0.5798190716471664,0.34317536095031165
ESDEN -> H5EC1,ESDEN,H5EC1,top-quintile-vs-bottom,1.0,1.0,0.5798190716471664,0.5798190716471664,0.0
ESDEN -> H5EC1,ESDEN,H5EC1,top-quintile-vs-bottom,1.0,1.1,0.23664371069685447,0.5798190716471664,-0.3431753609503119
ESDEN -> H5EC1,ESDEN,H5EC1,top-quintile-vs-bottom,1.0,1.2,-0.10653165025345679,0.5798190716471664,-0.6863507219006232
ESDEN -> H5EC1,ESDEN,H5EC1,top-quintile-vs-bottom,1.1,0.8,0.9230851038712627,0.5798190716471664,0.34326603222409635
ESDEN -> H5EC1,ESDEN,H5EC1,top-quintile-vs-bottom,1.1,0.9,0.5799097429209511,0.5798190716471664,9.067127378470374e-05
ESDEN -> H5EC1,ESDEN,H5EC1,top-quintile-vs-bottom,1.1,1.0,0.23673438197063942,0.5798190716471664,-0.34308468967652694
ESDEN -> H5EC1,ESDEN,H5EC1,top-quintile-vs-bottom,1.1,1.1,-0.10644097897967257,0.5798190716471664,-0.6862600506268389
ESDEN -> H5EC1,ESDEN,H5EC1,top-quintile-vs-bottom,1.1,1.2,-0.44961633992998384,0.5798190716471664,-1.0294354115771502
ESDEN -> H5EC1,ESDEN,H5EC1,top-quintile-vs-bottom,1.2,0.8,0.6371811958074908,0.5798190716471664,0.05736212416032438
ESDEN -> H5EC1,ESDEN,H5EC1,top-quintile-vs-bottom,1.2,0.9,0.2940058348571791,0.5798190716471664,-0.28581323678998727
ESDEN -> H5EC1,ESDEN,H5EC1,top-quintile-vs-bottom,1.2,1.0,-0.049169526093132486,0.5798190716471664,-0.6289885977402989
ESDEN -> H5EC1,ESDEN,H5EC1,top-quintile-vs-bottom,1.2,1.1,-0.3923448870434445,0.5798190716471664,-0.9721639586906109
ESDEN -> H5EC1,ESDEN,H5EC1,top-quintile-vs-bottom,1.2,1.2,-0.7355202479937558,0.5798190716471664,-1.3153393196409222
ESRDEN -> H5EC1,ESRDEN,H5EC1,top-quintile-vs-bottom,0.8,0.8,1.5114562404343317,-0.09329724640493958,1.6047534868392712
ESRDEN -> H5EC1,ESRDEN,H5EC1,top-quintile-vs-bottom,0.8,0.9,1.1640723794813135,-0.09329724640493958,1.257369625886253
ESRDEN -> H5EC1,ESRDEN,H5EC1,top-quintile-vs-bottom,0.8,1.0,0.8166885185282959,-0.09329724640493958,0.9099857649332355
