exposure,outcome,outcome_group,label,beta,p,sd_x,sd_y,rr_basis,rr,evalue
RCHDEN,W4_COG_COMP,cognitive,RCHDEN -> W4_COG_COMP,0.2112628930360974,0.13955430542039507,0.14779498779992514,0.7696018174269023,chinn-2000,1.0376097038747443,1.2351551257409323
RCHDEN,H5MN1,mental_health,RCHDEN -> H5MN1,0.02805596598095922,0.8906542143588896,0.14779498779992514,1.052259652418585,chinn-2000,1.0035923803875828,1.0636364107688947
RCHDEN,H5MN2,mental_health,RCHDEN -> H5MN2,0.0067061495251131975,0.9733833685732581,0.14779498779992514,0.9449202590801405,chinn-2000,1.000954962802946,1.031872187078436
RCHDEN,H5ID16,functional,RCHDEN -> H5ID16,0.08319937141886974,0.723525442972645,0.14779498779992514,1.343194908834103,chinn-2000,1.0083655086647756,1.100210434490844
RCHDEN,H5LM5,ses,RCHDEN -> H5LM5,-0.01403993979901555,0.8758370158760419,0.14779498779992514,0.39783067041437103,chinn-2000,0.9952648055994422,1.0738978639751242
RCHDEN,H5EC1,ses,RCHDEN -> H5EC1,0.342298504493341,0.6764705603377186,0.14779498779992514,3.261990749766246,chinn-2000,1.0142131914715091,1.1342765342673637
ESDEN,W4_COG_COMP,cognitive,ESDEN -> W4_COG_COMP,0.12006565467320676,0.1733108069776412,0.20099287889298065,0.7696018174269023,chinn-2000,1.0289458133893308,1.2015252834954264
ESDEN,H5MN1,mental_health,ESDEN -> H5MN1,-0.03704495230235926,0.7927688727001256,0.20099287889298065,1.052259652418585,chinn-2000,0.9935815421639069,1.0870927373170127
ESDEN,H5MN2,mental_health,ESDEN -> H5MN2,0.056133366402533455,0.6796245747217643,0.20099287889298065,0.9449202590801405,chinn-2000,1.010924700291394,1.116015372417186
ESDEN,H5ID16,functional,ESDEN -> H5ID16,-0.17619608821211552,0.33162407678557576,0.20099287889298065,1.343194908834103,chinn-2000,0.9762928277886622,1.1819930484326227
ESDEN,H5LM5,ses,ESDEN -> H5LM5,-0.09553082294182902,0.04223315173479231,0.20099287889298065,0.39783067041437103,chinn-2000,0.9570300339951479,1.261498531504442
ESDEN,H5EC1,ses,ESDEN -> H5EC1,1.5152396151470233,0.0008587534526885826,0.20099287889298065,3.261990749766246,chinn-2000,1.088674828783525,1.399380564236401
ERDEN,W4_COG_COMP,cognitive,ERDEN -> W4_COG_COMP,-0.007126076582086267,0.9140096592838944,0.20933304471676623,0.7696018174269023,chinn-2000,0.9982376968290649,1.04381932089296
ERDEN,H5MN1,mental_health,ERDEN -> H5MN1,0.12161423094843393,0.3742089140636907,0.20933304471676623,1.052259652418585,chinn-2000,1.0222602568724006,1.1731104338972418
ERDEN,H5MN2,mental_health,ERDEN -> H5MN2,-0.08273415703724296,0.45747168695198437,0.20933304471676623,0.9449202590801405,chinn-2000,0.9834593674787339,1.147592292809022
ERDEN,H5ID16,functional,ERDEN -> H5ID16,0.062001195153134625,0.6813424396207006,0.20933304471676623,1.343194908834103,chinn-2000,1.008831835986391,1.1032237705638832
ERDEN,H5LM5,ses,ERDEN -> H5LM5,0.058359848784732014,0.15584498108710587,0.20933304471676623,0.39783067041437103,chinn-2000,1.0283385263746145,1.1990476311455647
ERDEN,H5EC1,ses,ERDEN -> H5EC1,-0.04999716340248697,0.884823375568623,0.20933304471676623,3.261990749766246,chinn-2000,0.9970845340951864,1.0570769261847885
ESRDEN,W4_COG_COMP,cognitive,ESRDEN -> W4_COG_COMP,0.16232261319924116,0.14241375873253823,0.14368007830289653,0.7696018174269023,chinn-2000,1.0279610176685698,1.1974981409709071
ESRDEN,H5MN1,mental_health,ESRDEN -> H5MN1,0.12484907799637732,0.5175610336819639,0.14368007830289653,1.052259652418585,chinn-2000,1.0156341172631778,1.1416442076757178
ESRDEN,H5MN2,mental_health,ESRDEN -> H5MN2,-0.11274925179865947,0.5267998638786494,0.14368007830289653,0.9449202590801405,chinn-2000,0.9845199230395828,1.1420987336936275
ESRDEN,H5ID16,functional,ESRDEN -> H5ID16,-0.08942695310988058,0.7282519481233681,0.14368007830289653,1.343194908834103,chinn-2000,0.9913328072278925,1.102654679893435
ESRDEN,H5LM5,ses,ESRDEN -> H5LM5,0.014861362830365876,0.8021469602689837,0.14368007830289653,0.39783067041437103,chinn-2000,1.0048962023519408,1.075040162529649
ESRDEN,H5EC1,ses,ESRDEN -> H5EC1,1.2833990980830217,0.040364669918312814,0.14368007830289653,3.261990749766246,chinn-2000,1.0527880115588257,1.2885306375795784
