exposure,outcome,outcome_label,outcome_group,adj_tier,with_reach3,n,beta,se,p,ci_lo,ci_hi,sig,beta_reach3,p_reach3
RCHDEN,W4_COG_COMP,W4 cognitive composite,cognitive,L0+L1+AHPVT,False,3268,0.2739154473069013,0.1391905103011535,0.051549205079302475,-0.0018727067020543053,0.5497036013158569,False,,
RCHDEN,H5MN1,S13Q1 LAST MO NO CNTRL IMPORT THINGS—W5,mental_health,L0+L1,False,2489,-0.033931237662003774,0.19432831534322167,0.8617030715387133,-0.4189678845154579,0.35110540919145034,False,,
RCHDEN,H5MN2,S13Q2 LAST MO CONFID HANDLE PERS PBMS—W5,mental_health,L0+L1,False,2482,0.035222387485115456,0.1948185873377596,0.8568545922778763,-0.3507856704799393,0.42123044545017024,False,,
RCHDEN,H5ID16,S5Q16 HOW OFTEN TROUBLE SLEEPING—W5,functional,L0+L1,False,2541,0.08886192011840705,0.21890027754077507,0.6855560381685211,-0.3448609200694854,0.5225847603062994,False,,
RCHDEN,H5LM5,S3Q5 CURRENTLY WORK—W5,ses,L0+L1,False,2537,-0.040840814458916866,0.08214022962781417,0.6200167469966039,-0.2035911503109355,0.12190952139310175,False,,
RCHDEN,H5EC1,S4Q1 INCOME PERS EARNINGS [W4–W5]—W5,ses,L0+L1,False,2515,1.026278717598231,0.7506337136382423,0.17429521831021774,-0.4610057659005138,2.513563201096976,False,,
ESDEN,W4_COG_COMP,W4 cognitive composite,cognitive,L0+L1+AHPVT,False,2783,0.018667584772718057,0.06364618564571728,0.7698337186179154,-0.10743917359009104,0.14477434313552717,False,,
ESDEN,H5MN1,S13Q1 LAST MO NO CNTRL IMPORT THINGS—W5,mental_health,L0+L1,False,2154,0.04700422436606143,0.12155363588764602,0.6997154858837603,-0.19383872377745737,0.2878471725095802,False,,
ESDEN,H5MN2,S13Q2 LAST MO CONFID HANDLE PERS PBMS—W5,mental_health,L0+L1,False,2151,0.024005220147529926,0.09257488515669607,0.7958751903667672,-0.1594200480673585,0.20743048836241834,False,,
ESDEN,H5ID16,S5Q16 HOW OFTEN TROUBLE SLEEPING—W5,functional,L0+L1,False,2195,-0.06416836613168102,0.15109029886075662,0.671868618865236,-0.36353442579562173,0.23519769353225967,False,,
ESDEN,H5LM5,S3Q5 CURRENTLY WORK—W5,ses,L0+L1,False,2192,-0.033015289291999594,0.04161066727612111,0.42920313643608005,-0.11546149263110177,0.04943091404710258,False,,
ESDEN,H5EC1,S4Q1 INCOME PERS EARNINGS [W4–W5]—W5,ses,L0+L1,False,2174,0.22534495569867194,0.3942244168109418,0.5687275965845016,-0.5557601925065768,1.0064501039039206,False,,
ERDEN,W4_COG_COMP,W4 cognitive composite,cognitive,L0+L1+AHPVT,False,3006,-0.023422351216707542,0.06431444144482429,0.7164065473018775,-0.1508531727849949,0.10400847035157981,False,,
ERDEN,H5MN1,S13Q1 LAST MO NO CNTRL IMPORT THINGS—W5,mental_health,L0+L1,False,2296,0.12661090796244373,0.13450897620974728,0.34858606695079486,-0.139901386347417,0.39312320227230446,False,,
ERDEN,H5MN2,S13Q2 LAST MO CONFID HANDLE PERS PBMS—W5,mental_health,L0+L1,False,2290,-0.08757044962883545,0.10936613694328434,0.42499540999476443,-0.3042654308701613,0.12912453161249038,False,,
ERDEN,H5ID16,S5Q16 HOW OFTEN TROUBLE SLEEPING—W5,functional,L0+L1,False,2346,0.056688540720663365,0.151501875212748,0.7089799710780601,-0.24349300472678265,0.3568700861681094,False,,
ERDEN,H5LM5,S3Q5 CURRENTLY WORK—W5,ses,L0+L1,False,2343,0.06322629979067686,0.04149593383225794,0.130408705132689,-0.018992573936531143,0.14544517351788486,False,,
ERDEN,H5EC1,S4Q1 INCOME PERS EARNINGS [W4–W5]—W5,ses,L0+L1,False,2323,-0.1965605348895852,0.35975489738598254,0.5858960291452223,-0.9093687488338884,0.5162476790547181,False,,
ESRDEN,W4_COG_COMP,W4 cognitive composite,cognitive,L0+L1+AHPVT,False,3167,0.011834884252772918,0.09284800149032058,0.898800831187094,-0.17213152896774148,0.19580129747328728,False,,
ESRDEN,H5MN1,S13Q1 LAST MO NO CNTRL IMPORT THINGS—W5,mental_health,L0+L1,False,2419,0.17255636105526173,0.15881637509079255,0.27958412289685725,-0.14211792829045794,0.4872306504009814,False,,
ESRDEN,H5MN2,S13Q2 LAST MO CONFID HANDLE PERS PBMS—W5,mental_health,L0+L1,False,2413,-0.11105285622967492,0.145057240784415,0.4455368778669867,-0.3984651846636405,0.17635947220429066,False,,
ESRDEN,H5ID16,S5Q16 HOW OFTEN TROUBLE SLEEPING—W5,functional,L0+L1,False,2469,-0.06211395546967159,0.22853599729573965,0.7862833355846014,-0.5149287391960977,0.3907008282567545,False,,
ESRDEN,H5LM5,S3Q5 CURRENTLY WORK—W5,ses,L0+L1,False,2466,0.054835752262504006,0.060218462756599755,0.36445464211659045,-0.06447941257860125,0.17415091710360925,False,,
ESRDEN,H5EC1,S4Q1 INCOME PERS EARNINGS [W4–W5]—W5,ses,L0+L1,False,2444,-0.07449897510765718,0.6272704184665254,0.9056727742167983,-1.3173549025628961,1.1683569523475816,False,,
