exposure,outcome,outcome_label,outcome_group,adj_tier,beta_q2_vs_q1,p_q2_vs_q1,beta_q3_vs_q1,p_q3_vs_q1,beta_q4_vs_q1,p_q4_vs_q1,beta_q5_vs_q1,p_q5_vs_q1,beta_trend,se_trend,p_trend
RCHDEN,W4_COG_COMP,W4 cognitive composite,cognitive,L0+L1+AHPVT,0.13984553353303075,0.011818628305906043,0.10069667529762734,0.053187692153421035,0.12711742049736346,0.023196947333721237,0.09092533754576743,0.15627920340036333,0.014513709795064781,0.014923889089736226,0.3328899604690319
RCHDEN,H5MN1,S13Q1 LAST MO NO CNTRL IMPORT THINGS—W5,mental_health,L0+L1,0.13273427570365492,0.08203982837886073,0.11517456288745999,0.2299029764637168,0.16348724969250156,0.0678688055497614,-0.016679793767827307,0.838894292381103,-0.004887163519443599,0.01837365607622413,0.7907378332172691
RCHDEN,H5MN2,S13Q2 LAST MO CONFID HANDLE PERS PBMS—W5,mental_health,L0+L1,-0.07425342800625576,0.34965395039193004,0.03173251939812351,0.673767394089472,-0.06482258015345539,0.4112160844796901,-0.056377845494524376,0.4249244240943959,-0.011566735585738949,0.017834274614815463,0.5179453777790372
RCHDEN,H5ID16,S5Q16 HOW OFTEN TROUBLE SLEEPING—W5,functional,L0+L1,0.08189521675250913,0.3736838080529146,-0.04670677132199666,0.6296075477709783,0.06832285593523858,0.4336677654223752,0.00881944574058239,0.9356914481863718,0.001300849983425504,0.024728193638650694,0.958139594549796
RCHDEN,H5LM5,S3Q5 CURRENTLY WORK—W5,ses,L0+L1,-0.008408927740401369,0.7755047136334323,-0.02651758896753586,0.37479892410323784,0.03420365644648777,0.3865674588437786,-0.0077541391494301455,0.8329275718488336,0.0037244798251239806,0.008481892085128034,0.6614281481242642
RCHDEN,H5EC1,S4Q1 INCOME PERS EARNINGS [W4–W5]—W5,ses,L0+L1,0.26586876619191174,0.45680235326215113,0.1759772524935812,0.5898964227650241,-0.40751610695099816,0.2615666202132958,0.38530613333675046,0.27966550062869155,0.003197005760959687,0.07982886190321817,0.968125965864448
ESDEN,W4_COG_COMP,W4 cognitive composite,cognitive,L0+L1+AHPVT,0.0020716918732999853,0.9691259206926133,0.07995631592903177,0.13493313602156112,0.08765032660987572,0.0872136590420357,0.1012175716502024,0.08496305221600571,0.02859065454453468,0.012563643625707117,0.02476802970168182
ESDEN,H5MN1,S13Q1 LAST MO NO CNTRL IMPORT THINGS—W5,mental_health,L0+L1,-0.004113320958262896,0.9431108225037088,-0.0978382020773005,0.16574400104520062,0.00019879275002268604,0.9981767347025545,-0.09749440369433524,0.2270627833702423,-0.02053099940941368,0.020025382843712105,0.3074550758789394
ESDEN,H5MN2,S13Q2 LAST MO CONFID HANDLE PERS PBMS—W5,mental_health,L0+L1,0.02021422484007175,0.7620503265002182,0.06560751216448842,0.33755518306469046,0.05620445723953077,0.5164225776425748,0.050421803219437275,0.4929026473186272,0.013137019188187597,0.018341974266247014,0.47534186815027574
ESDEN,H5ID16,S5Q16 HOW OFTEN TROUBLE SLEEPING—W5,functional,L0+L1,-0.052988408109396,0.6081364403198039,-0.11425400921709104,0.3061902712934898,-0.13868713813523137,0.20475065957044158,-0.22617704684645426,0.06451137719601603,-0.05445955639799553,0.027238191881290487,0.047988237711770645
