outcome,parent_ed_tertile,n,beta_qtrend,se_qtrend,p_qtrend
H4BMI,1,1039,-0.4409358323232503,0.15849107533208145,0.006348457862105736
H4BMI,2,1094,-0.5937460292657959,0.15072318311957525,0.00014247681282795384
H4BMI,3,1101,-0.5615256706255407,0.17966802309355084,0.0022620776654787033
H4WAIST,1,1041,-1.0120824212986834,0.3746857692901179,0.007993898027186615
H4WAIST,2,1106,-1.4295829493528307,0.34677333492454754,7.216060316300091e-05
H4WAIST,3,1103,-1.344250643121025,0.4052401604807909,0.001226704996488618
H4BMICLS,1,1039,-0.05940691894740893,0.02918059789712015,0.044147987629206575
H4BMICLS,2,1094,-0.10730973606239638,0.02726655845997831,0.000144435539510997
H4BMICLS,3,1101,-0.0857536041720329,0.03180072134664164,0.008087089480105824
H5LM5,1,769,-0.03526661663506043,0.01399366144535656,0.013151307845354657
H5LM5,2,888,-0.009691464740205408,0.01171745993032998,0.4099571469494074
H5LM5,3,880,-0.014650071913962729,0.009877969019978363,0.1409058482529833
H5EC1,1,763,0.21931474873412837,0.0939850926925433,0.021422316251400664
H5EC1,2,879,0.11684269795522037,0.10592154839621118,0.2723885967589335
H5EC1,3,873,0.1561391505755565,0.08849457966460496,0.08044178424974742
