label,exposure,outcome,binarisation,eta_1,eta_0,ate_perturbed,ate_baseline,ate_shift
IDGX2 x CESD_SUM -> H5MN1 [high-CESD],IDGX2,H5MN1,top-quintile-vs-bottom,0.8,0.8,0.612175802378943,0.006788211232749752,0.6053875911461932
IDGX2 x CESD_SUM -> H5MN1 [high-CESD],IDGX2,H5MN1,top-quintile-vs-bottom,0.8,0.9,0.47726269825741263,0.006788211232749752,0.4704744870246629
IDGX2 x CESD_SUM -> H5MN1 [high-CESD],IDGX2,H5MN1,top-quintile-vs-bottom,0.8,1.0,0.3423495941358823,0.006788211232749752,0.33556138290313253
IDGX2 x CESD_SUM -> H5MN1 [high-CESD],IDGX2,H5MN1,top-quintile-vs-bottom,0.8,1.1,0.2074364900143518,0.006788211232749752,0.20064827878160205
IDGX2 x CESD_SUM -> H5MN1 [high-CESD],IDGX2,H5MN1,top-quintile-vs-bottom,0.8,1.2,0.07252338589282159,0.006788211232749752,0.06573517466007184
IDGX2 x CESD_SUM -> H5MN1 [high-CESD],IDGX2,H5MN1,top-quintile-vs-bottom,0.9,0.8,0.4257528118772027,0.006788211232749752,0.41896460064445296
IDGX2 x CESD_SUM -> H5MN1 [high-CESD],IDGX2,H5MN1,top-quintile-vs-bottom,0.9,0.9,0.2908397077556723,0.006788211232749752,0.28405149652292255
IDGX2 x CESD_SUM -> H5MN1 [high-CESD],IDGX2,H5MN1,top-quintile-vs-bottom,0.9,1.0,0.15592660363414199,0.006788211232749752,0.14913839240139223
IDGX2 x CESD_SUM -> H5MN1 [high-CESD],IDGX2,H5MN1,top-quintile-vs-bottom,0.9,1.1,0.021013499512611507,0.006788211232749752,0.014225288279861754
IDGX2 x CESD_SUM -> H5MN1 [high-CESD],IDGX2,H5MN1,top-quintile-vs-bottom,0.9,1.2,-0.1138996046089187,0.006788211232749752,-0.12068781584166845
IDGX2 x CESD_SUM -> H5MN1 [high-CESD],IDGX2,H5MN1,top-quintile-vs-bottom,1.0,0.8,0.27661441947581045,0.006788211232749752,0.2698262082430607
IDGX2 x CESD_SUM -> H5MN1 [high-CESD],IDGX2,H5MN1,top-quintile-vs-bottom,1.0,0.9,0.1417013153542801,0.006788211232749752,0.13491310412153035
IDGX2 x CESD_SUM -> H5MN1 [high-CESD],IDGX2,H5MN1,top-quintile-vs-bottom,1.0,1.0,0.006788211232749752,0.006788211232749752,0.0
IDGX2 x CESD_SUM -> H5MN1 [high-CESD],IDGX2,H5MN1,top-quintile-vs-bottom,1.0,1.1,-0.12812489288878073,0.006788211232749752,-0.13491310412153049
IDGX2 x CESD_SUM -> H5MN1 [high-CESD],IDGX2,H5MN1,top-quintile-vs-bottom,1.0,1.2,-0.26303799701031094,0.006788211232749752,-0.2698262082430607
IDGX2 x CESD_SUM -> H5MN1 [high-CESD],IDGX2,H5MN1,top-quintile-vs-bottom,1.1,0.8,0.15459209842012578,0.006788211232749752,0.14780388718737603
IDGX2 x CESD_SUM -> H5MN1 [high-CESD],IDGX2,H5MN1,top-quintile-vs-bottom,1.1,0.9,0.019678994298595393,0.006788211232749752,0.01289078306584564
IDGX2 x CESD_SUM -> H5MN1 [high-CESD],IDGX2,H5MN1,top-quintile-vs-bottom,1.1,1.0,-0.11523410982293493,0.006788211232749752,-0.12202232105568468
IDGX2 x CESD_SUM -> H5MN1 [high-CESD],IDGX2,H5MN1,top-quintile-vs-bottom,1.1,1.1,-0.25014721394446543,0.006788211232749752,-0.2569354251772152
IDGX2 x CESD_SUM -> H5MN1 [high-CESD],IDGX2,H5MN1,top-quintile-vs-bottom,1.1,1.2,-0.38506031806599567,0.006788211232749752,-0.3918485292987454
IDGX2 x CESD_SUM -> H5MN1 [high-CESD],IDGX2,H5MN1,top-quintile-vs-bottom,1.2,0.8,0.05290683087372206,0.006788211232749752,0.04611861964097231
IDGX2 x CESD_SUM -> H5MN1 [high-CESD],IDGX2,H5MN1,top-quintile-vs-bottom,1.2,0.9,-0.0820062732478083,0.006788211232749752,-0.08879448448055806
IDGX2 x CESD_SUM -> H5MN1 [high-CESD],IDGX2,H5MN1,top-quintile-vs-bottom,1.2,1.0,-0.21691937736933864,0.006788211232749752,-0.2237075886020884
IDGX2 x CESD_SUM -> H5MN1 [high-CESD],IDGX2,H5MN1,top-quintile-vs-bottom,1.2,1.1,-0.35183248149086915,0.006788211232749752,-0.3586206927236189
IDGX2 x CESD_SUM -> H5MN1 [high-CESD],IDGX2,H5MN1,top-quintile-vs-bottom,1.2,1.2,-0.48674558561239933,0.006788211232749752,-0.4935337968451491
IDGX2 x CESD_SUM -> H5ID1 [high-CESD],IDGX2,H5ID1,top-quintile-vs-bottom,0.8,0.8,0.3877764573528928,-0.19323636671841765,0.5810128240713104
IDGX2 x CESD_SUM -> H5ID1 [high-CESD],IDGX2,H5ID1,top-quintile-vs-bottom,0.8,0.9,0.251511748521195,-0.19323636671841765,0.44474811523961266
IDGX2 x CESD_SUM -> H5ID1 [high-CESD],IDGX2,H5ID1,top-quintile-vs-bottom,0.8,1.0,0.11524703968949739,-0.19323636671841765,0.30848340640791505
IDGX2 x CESD_SUM -> H5ID1 [high-CESD],IDGX2,H5ID1,top-quintile-vs-bottom,0.8,1.1,-0.02101766914220044,-0.19323636671841765,0.17221869757621722
IDGX2 x CESD_SUM -> H5ID1 [high-CESD],IDGX2,H5ID1,top-quintile-vs-bottom,0.8,1.2,-0.157282377973898,-0.19323636671841765,0.03595398874451966
IDGX2 x CESD_SUM -> H5ID1 [high-CESD],IDGX2,H5ID1,top-quintile-vs-bottom,0.9,0.8,0.21639678712627333,-0.19323636671841765,0.409633153844691
IDGX2 x CESD_SUM -> H5ID1 [high-CESD],IDGX2,H5ID1,top-quintile-vs-bottom,0.9,0.9,0.08013207829457565,-0.19323636671841765,0.2733684450129933
IDGX2 x CESD_SUM -> H5ID1 [high-CESD],IDGX2,H5ID1,top-quintile-vs-bottom,0.9,1.0,-0.05613263053712204,-0.19323636671841765,0.13710373618129562
IDGX2 x CESD_SUM -> H5ID1 [high-CESD],IDGX2,H5ID1,top-quintile-vs-bottom,0.9,1.1,-0.19239733936881986,-0.19323636671841765,0.0008390273495977874
IDGX2 x CESD_SUM -> H5ID1 [high-CESD],IDGX2,H5ID1,top-quintile-vs-bottom,0.9,1.2,-0.3286620482005174,-0.19323636671841765,-0.13542568148209977
IDGX2 x CESD_SUM -> H5ID1 [high-CESD],IDGX2,H5ID1,top-quintile-vs-bottom,1.0,0.8,0.07929305094497775,-0.19323636671841765,0.2725294176633954
IDGX2 x CESD_SUM -> H5ID1 [high-CESD],IDGX2,H5ID1,top-quintile-vs-bottom,1.0,0.9,-0.056971657886719956,-0.19323636671841765,0.1362647088316977
IDGX2 x CESD_SUM -> H5ID1 [high-CESD],IDGX2,H5ID1,top-quintile-vs-bottom,1.0,1.0,-0.19323636671841765,-0.19323636671841765,0.0
IDGX2 x CESD_SUM -> H5ID1 [high-CESD],IDGX2,H5ID1,top-quintile-vs-bottom,1.0,1.1,-0.3295010755501155,-0.19323636671841765,-0.13626470883169783
