outcome,stratum,ate,se,n_treated,n_control
H4BMI,female,-3.9442318222145096,0.6239217341997072,341,357
H4BMI,male,-2.299409131461014,0.5730832893809034,288,298
H4WAIST,female,-8.782628783069871,1.4408076455815186,345,361
H4WAIST,male,-4.972856688617689,1.4723142228247788,288,299
H4BMICLS,female,-0.6151335051797284,0.11068114720188307,341,357
H4BMICLS,male,-0.40637589044270866,0.10569766333147412,288,298
H5MN1,female,-0.043655727648362556,0.08982471785801281,272,268
H5MN1,male,-0.2402666880614384,0.11905363723081319,201,198
H5MN2,female,0.10508139816509654,0.085377062846181,270,269
H5MN2,male,0.2580126029425979,0.10276207211229003,201,197
