label,exposure,outcome,binarisation,eta_1,eta_0,ate_perturbed,ate_baseline,ate_shift
IDGX2 x male -> H4BMI [female],IDGX2,H4BMI,top-quintile-vs-bottom,0.8,0.8,3.5248005773764506,-3.0508260468176145,6.575626624194065
IDGX2 x male -> H4BMI [female],IDGX2,H4BMI,top-quintile-vs-bottom,0.8,0.9,1.97218659500777,-3.0508260468176145,5.023012641825384
IDGX2 x male -> H4BMI [female],IDGX2,H4BMI,top-quintile-vs-bottom,0.8,1.0,0.4195726126390887,-3.0508260468176145,3.4703986594567033
IDGX2 x male -> H4BMI [female],IDGX2,H4BMI,top-quintile-vs-bottom,0.8,1.1,-1.133041369729594,-3.0508260468176145,1.9177846770880205
IDGX2 x male -> H4BMI [female],IDGX2,H4BMI,top-quintile-vs-bottom,0.8,1.2,-2.685655352098273,-3.0508260468176145,0.3651706947193416
IDGX2 x male -> H4BMI [female],IDGX2,H4BMI,top-quintile-vs-bottom,0.9,0.8,1.5968013221227264,-3.0508260468176145,4.647627368940341
IDGX2 x male -> H4BMI [female],IDGX2,H4BMI,top-quintile-vs-bottom,0.9,0.9,0.04418733975404584,-3.0508260468176145,3.0950133865716603
IDGX2 x male -> H4BMI [female],IDGX2,H4BMI,top-quintile-vs-bottom,0.9,1.0,-1.508426642614635,-3.0508260468176145,1.5423994042029794
IDGX2 x male -> H4BMI [female],IDGX2,H4BMI,top-quintile-vs-bottom,0.9,1.1,-3.0610406249833173,-3.0508260468176145,-0.010214578165702815
IDGX2 x male -> H4BMI [female],IDGX2,H4BMI,top-quintile-vs-bottom,0.9,1.2,-4.613654607351997,-3.0508260468176145,-1.5628285605343821
IDGX2 x male -> H4BMI [female],IDGX2,H4BMI,top-quintile-vs-bottom,1.0,0.8,0.05440191791974713,-3.0508260468176145,3.1052279647373617
IDGX2 x male -> H4BMI [female],IDGX2,H4BMI,top-quintile-vs-bottom,1.0,0.9,-1.4982120644489334,-3.0508260468176145,1.552613982368681
IDGX2 x male -> H4BMI [female],IDGX2,H4BMI,top-quintile-vs-bottom,1.0,1.0,-3.0508260468176145,-3.0508260468176145,0.0
IDGX2 x male -> H4BMI [female],IDGX2,H4BMI,top-quintile-vs-bottom,1.0,1.1,-4.603440029186297,-3.0508260468176145,-1.5526139823686824
IDGX2 x male -> H4BMI [female],IDGX2,H4BMI,top-quintile-vs-bottom,1.0,1.2,-6.156054011554976,-3.0508260468176145,-3.1052279647373613
IDGX2 x male -> H4BMI [female],IDGX2,H4BMI,top-quintile-vs-bottom,1.1,0.8,-1.207561230973601,-3.0508260468176145,1.8432648158440135
IDGX2 x male -> H4BMI [female],IDGX2,H4BMI,top-quintile-vs-bottom,1.1,0.9,-2.760175213342282,-3.0508260468176145,0.2906508334753326
IDGX2 x male -> H4BMI [female],IDGX2,H4BMI,top-quintile-vs-bottom,1.1,1.0,-4.3127891957109625,-3.0508260468176145,-1.261963148893348
IDGX2 x male -> H4BMI [female],IDGX2,H4BMI,top-quintile-vs-bottom,1.1,1.1,-5.865403178079646,-3.0508260468176145,-2.8145771312620314
IDGX2 x male -> H4BMI [female],IDGX2,H4BMI,top-quintile-vs-bottom,1.1,1.2,-7.418017160448326,-3.0508260468176145,-4.367191113630711
IDGX2 x male -> H4BMI [female],IDGX2,H4BMI,top-quintile-vs-bottom,1.2,0.8,-2.259197188384722,-3.0508260468176145,0.7916288584328925
IDGX2 x male -> H4BMI [female],IDGX2,H4BMI,top-quintile-vs-bottom,1.2,0.9,-3.8118111707534026,-3.0508260468176145,-0.7609851239357881
IDGX2 x male -> H4BMI [female],IDGX2,H4BMI,top-quintile-vs-bottom,1.2,1.0,-5.364425153122085,-3.0508260468176145,-2.31359910630447
IDGX2 x male -> H4BMI [female],IDGX2,H4BMI,top-quintile-vs-bottom,1.2,1.1,-6.917039135490766,-3.0508260468176145,-3.8662130886731516
IDGX2 x male -> H4BMI [female],IDGX2,H4BMI,top-quintile-vs-bottom,1.2,1.2,-8.469653117859446,-3.0508260468176145,-5.418827071041831
IDGX2 x male -> H4BMICLS [female],IDGX2,H4BMICLS,top-quintile-vs-bottom,0.8,0.8,0.3154058628590508,-0.4356922789591954,0.7510981418182462
IDGX2 x male -> H4BMICLS [female],IDGX2,H4BMICLS,top-quintile-vs-bottom,0.8,0.9,0.13704668476981832,-0.4356922789591954,0.5727389637290137
IDGX2 x male -> H4BMICLS [female],IDGX2,H4BMICLS,top-quintile-vs-bottom,0.8,1.0,-0.04131249331941417,-0.4356922789591954,0.3943797856397812
IDGX2 x male -> H4BMICLS [female],IDGX2,H4BMICLS,top-quintile-vs-bottom,0.8,1.1,-0.21967167140864688,-0.4356922789591954,0.2160206075505485
IDGX2 x male -> H4BMICLS [female],IDGX2,H4BMICLS,top-quintile-vs-bottom,0.8,1.2,-0.39803084949787915,-0.4356922789591954,0.03766142946131623
IDGX2 x male -> H4BMICLS [female],IDGX2,H4BMICLS,top-quintile-vs-bottom,0.9,0.8,0.09630598194806127,-0.4356922789591954,0.5319982609072567
IDGX2 x male -> H4BMICLS [female],IDGX2,H4BMICLS,top-quintile-vs-bottom,0.9,0.9,-0.08205319614117121,-0.4356922789591954,0.35363908281802414
IDGX2 x male -> H4BMICLS [female],IDGX2,H4BMICLS,top-quintile-vs-bottom,0.9,1.0,-0.2604123742304037,-0.4356922789591954,0.17527990472879168
IDGX2 x male -> H4BMICLS [female],IDGX2,H4BMICLS,top-quintile-vs-bottom,0.9,1.1,-0.4387715523196364,-0.4356922789591954,-0.003079273360441004
IDGX2 x male -> H4BMICLS [female],IDGX2,H4BMICLS,top-quintile-vs-bottom,0.9,1.2,-0.6171307304088687,-0.4356922789591954,-0.1814384514496733
IDGX2 x male -> H4BMICLS [female],IDGX2,H4BMICLS,top-quintile-vs-bottom,1.0,0.8,-0.07897392278073037,-0.4356922789591954,0.35671835617846503
IDGX2 x male -> H4BMICLS [female],IDGX2,H4BMICLS,top-quintile-vs-bottom,1.0,0.9,-0.25733310086996286,-0.4356922789591954,0.17835917808923252
IDGX2 x male -> H4BMICLS [female],IDGX2,H4BMICLS,top-quintile-vs-bottom,1.0,1.0,-0.4356922789591954,-0.4356922789591954,0.0
IDGX2 x male -> H4BMICLS [female],IDGX2,H4BMICLS,top-quintile-vs-bottom,1.0,1.1,-0.6140514570484281,-0.4356922789591954,-0.17835917808923274
IDGX2 x male -> H4BMICLS [female],IDGX2,H4BMICLS,top-quintile-vs-bottom,1.0,1.2,-0.7924106351376603,-0.4356922789591954,-0.3567183561784649
IDGX2 x male -> H4BMICLS [female],IDGX2,H4BMICLS,top-quintile-vs-bottom,1.1,0.8,-0.22238475392246915,-0.4356922789591954,0.21330752503672623
IDGX2 x male -> H4BMICLS [female],IDGX2,H4BMICLS,top-quintile-vs-bottom,1.1,0.9,-0.40074393201170166,-0.4356922789591954,0.034948346947493714
IDGX2 x male -> H4BMICLS [female],IDGX2,H4BMICLS,top-quintile-vs-bottom,1.1,1.0,-0.5791031101009342,-0.4356922789591954,-0.1434108311417388
IDGX2 x male -> H4BMICLS [female],IDGX2,H4BMICLS,top-quintile-vs-bottom,1.1,1.1,-0.7574622881901669,-0.4356922789591954,-0.32177000923097154
IDGX2 x male -> H4BMICLS [female],IDGX2,H4BMICLS,top-quintile-vs-bottom,1.1,1.2,-0.9358214662793991,-0.4356922789591954,-0.5001291873202037
IDGX2 x male -> H4BMICLS [female],IDGX2,H4BMICLS,top-quintile-vs-bottom,1.2,0.8,-0.34189377987391784,-0.4356922789591954,0.09379849908527754
IDGX2 x male -> H4BMICLS [female],IDGX2,H4BMICLS,top-quintile-vs-bottom,1.2,0.9,-0.5202529579631504,-0.4356922789591954,-0.08456067900395503
IDGX2 x male -> H4BMICLS [female],IDGX2,H4BMICLS,top-quintile-vs-bottom,1.2,1.0,-0.6986121360523828,-0.4356922789591954,-0.26291985709318744
IDGX2 x male -> H4BMICLS [female],IDGX2,H4BMICLS,top-quintile-vs-bottom,1.2,1.1,-0.8769713141416156,-0.4356922789591954,-0.4412790351824202
IDGX2 x male -> H4BMICLS [female],IDGX2,H4BMICLS,top-quintile-vs-bottom,1.2,1.2,-1.0553304922308477,-0.4356922789591954,-0.6196382132716524
