outcome,stratum,n,beta_qtrend,se_qtrend,p_qtrend
H4BMI,female,1771,-0.7569200522129899,0.12639349924414495,2.6606031541592278e-08
H4BMI,male,1463,-0.3999602013756132,0.11142726528799915,0.0004931340018391371
H4WAIST,female,1780,-1.6731662585783569,0.3024241884660673,2.1275161251012336e-07
H4WAIST,male,1470,-1.072814325191437,0.26657158968397837,0.00010410796891278902
H4BMICLS,female,1771,-0.11039805221762651,0.02216043872651689,2.3330419598507703e-06
H4BMICLS,male,1463,-0.07101172900460462,0.02076918964856911,0.0008771900611218252
H5MN1,female,1389,-0.01989981131302708,0.029801208744882766,0.5056780267023909
H5MN1,male,998,-0.06433170405995939,0.029503607150518512,0.0313146271408559
H5MN2,female,1386,0.008454762455114798,0.020116801399072518,0.6750907462848482
H5MN2,male,994,0.06451141288260334,0.03035973799044641,0.0357936289417279
