exposure,outcome,outcome_label,outcome_group,adj_tier,n,beta,se,p,ci_lo,ci_hi,sig
FRIEND_DISCLOSURE_ANY,W4_COG_COMP,W4 cognitive composite,cognitive,L0+L1+AHPVT,4706,0.04514524281960543,0.027626403407942694,0.10463170345598653,-0.00950637310231231,0.09979685874152316,False
FRIEND_N_NOMINEES,W4_COG_COMP,W4 cognitive composite,cognitive,L0+L1+AHPVT,4706,0.00825336007591001,0.007624745989904285,0.28104375794587705,-0.006830206293160937,0.023336926444980956,False
FRIEND_CONTACT_SUM,W4_COG_COMP,W4 cognitive composite,cognitive,L0+L1+AHPVT,4706,-0.0024143296478402725,0.003198412108051308,0.45169236636100357,-0.00874155174432845,0.0039128924486479056,False
FRIEND_DISCLOSURE_ANY,H4BMI,S27 BMI -- W4,cardiometabolic,L0+L1+AHPVT,4661,0.32953730475550236,0.3084396101980225,0.2873043216349546,-0.28062981916342145,0.9397044286744262,False
FRIEND_N_NOMINEES,H4BMI,S27 BMI -- W4,cardiometabolic,L0+L1+AHPVT,4661,0.03737991473756559,0.08592778783368231,0.664267033040871,-0.13260574674583608,0.2073655762209673,False
FRIEND_CONTACT_SUM,H4BMI,S27 BMI -- W4,cardiometabolic,L0+L1+AHPVT,4661,-0.06231585668608366,0.03816734569983735,0.10493332965479835,-0.13781997088963083,0.013188257517463504,False
FRIEND_DISCLOSURE_ANY,H4WAIST,S27 MEASURED WAIST (CM) -- W4,cardiometabolic,L0+L1+AHPVT,4685,0.4345558426363038,0.791730985545614,0.584030296188248,-1.1316769056728804,2.000788590945488,False
FRIEND_N_NOMINEES,H4WAIST,S27 MEASURED WAIST (CM) -- W4,cardiometabolic,L0+L1+AHPVT,4685,0.13359984084242188,0.21484519884223263,0.5351262755000541,-0.29141521147589683,0.5586148931607406,False
FRIEND_CONTACT_SUM,H4WAIST,S27 MEASURED WAIST (CM) -- W4,cardiometabolic,L0+L1+AHPVT,4685,-0.13367896612904606,0.08976132649930747,0.13881952934347147,-0.31124828154241724,0.043890349284325114,False
FRIEND_DISCLOSURE_ANY,H4SBP,S27 SYSTOLIC BLOOD PRESSURE -- W4,cardiometabolic,L0+L1+AHPVT,4605,0.463760305107916,0.5250712437225076,0.3787283221887959,-0.5749558650655759,1.502476475281408,False
