outcome,outcome_label,outcome_group,dropped,exposure,beta,se,p
W4_COG_COMP,W4 cognitive composite,cognitive,FRIEND_DISCLOSURE_ANY,FRIEND_N_NOMINEES,0.0056648026894486544,0.00734069327356225,0.44168279656892795
W4_COG_COMP,W4 cognitive composite,cognitive,FRIEND_DISCLOSURE_ANY,FRIEND_CONTACT_SUM,-0.0005065475358854557,0.0028450143061064773,0.8589607473192546
W4_COG_COMP,W4 cognitive composite,cognitive,FRIEND_N_NOMINEES,FRIEND_DISCLOSURE_ANY,0.038354447104663056,0.026607037551134298,0.15182544711430854
W4_COG_COMP,W4 cognitive composite,cognitive,FRIEND_N_NOMINEES,FRIEND_CONTACT_SUM,0.0002506068706579919,0.001896042506325636,0.8950497329076265
W4_COG_COMP,W4 cognitive composite,cognitive,FRIEND_CONTACT_SUM,FRIEND_DISCLOSURE_ANY,0.036458567391733976,0.02471940765304251,0.1426396922519088
W4_COG_COMP,W4 cognitive composite,cognitive,FRIEND_CONTACT_SUM,FRIEND_N_NOMINEES,0.0037864842980411626,0.0045706264852306685,0.408928846139003
H4BMI,S27 BMI -- W4,cardiometabolic,FRIEND_DISCLOSURE_ANY,FRIEND_N_NOMINEES,0.018421841828167,0.08324214317023591,0.8252001088462678
H4BMI,S27 BMI -- W4,cardiometabolic,FRIEND_DISCLOSURE_ANY,FRIEND_CONTACT_SUM,-0.04840761705226141,0.034504511055397695,0.16300160560427523
H4BMI,S27 BMI -- W4,cardiometabolic,FRIEND_N_NOMINEES,FRIEND_DISCLOSURE_ANY,0.29868619056248186,0.3003353809289527,0.32180864220952393
H4BMI,S27 BMI -- W4,cardiometabolic,FRIEND_N_NOMINEES,FRIEND_CONTACT_SUM,-0.05025386142282202,0.024309491316334027,0.04067917142526146
H4BMI,S27 BMI -- W4,cardiometabolic,FRIEND_CONTACT_SUM,FRIEND_DISCLOSURE_ANY,0.10236538693470952,0.28044564239472936,0.7156927680546806
H4BMI,S27 BMI -- W4,cardiometabolic,FRIEND_CONTACT_SUM,FRIEND_N_NOMINEES,-0.08565525743778407,0.05489448465023518,0.1210870154153089
H4WAIST,S27 MEASURED WAIST (CM) -- W4,cardiometabolic,FRIEND_DISCLOSURE_ANY,FRIEND_N_NOMINEES,0.10860197933448495,0.20650720472739942,0.5998473673009809
H4WAIST,S27 MEASURED WAIST (CM) -- W4,cardiometabolic,FRIEND_DISCLOSURE_ANY,FRIEND_CONTACT_SUM,-0.11532486002336052,0.08001552513294445,0.15189143172426198
H4WAIST,S27 MEASURED WAIST (CM) -- W4,cardiometabolic,FRIEND_N_NOMINEES,FRIEND_DISCLOSURE_ANY,0.3242017335403607,0.7618156914873685,0.671123508471077
H4WAIST,S27 MEASURED WAIST (CM) -- W4,cardiometabolic,FRIEND_N_NOMINEES,FRIEND_CONTACT_SUM,-0.09054734720337451,0.05414152304023719,0.09682831773413218
H4WAIST,S27 MEASURED WAIST (CM) -- W4,cardiometabolic,FRIEND_CONTACT_SUM,FRIEND_DISCLOSURE_ANY,-0.05269525847068185,0.7075629510174422,0.9407465904391551
H4WAIST,S27 MEASURED WAIST (CM) -- W4,cardiometabolic,FRIEND_CONTACT_SUM,FRIEND_N_NOMINEES,-0.1297062155233691,0.1301011951648752,0.3206199330312981
H4SBP,S27 SYSTOLIC BLOOD PRESSURE -- W4,cardiometabolic,FRIEND_DISCLOSURE_ANY,FRIEND_N_NOMINEES,-0.04489438993581413,0.14949077563223276,0.7644126011768201
H4SBP,S27 SYSTOLIC BLOOD PRESSURE -- W4,cardiometabolic,FRIEND_DISCLOSURE_ANY,FRIEND_CONTACT_SUM,0.07345421851299372,0.05854689991722203,0.21184989930239417
H4SBP,S27 SYSTOLIC BLOOD PRESSURE -- W4,cardiometabolic,FRIEND_N_NOMINEES,FRIEND_DISCLOSURE_ANY,0.4788647630139282,0.49579265075438683,0.33589546625959854
H4SBP,S27 SYSTOLIC BLOOD PRESSURE -- W4,cardiometabolic,FRIEND_N_NOMINEES,FRIEND_CONTACT_SUM,0.048059226204498665,0.028922392874289098,0.09897194535373517
H4SBP,S27 SYSTOLIC BLOOD PRESSURE -- W4,cardiometabolic,FRIEND_CONTACT_SUM,FRIEND_DISCLOSURE_ANY,0.6574894109910079,0.484538780186054,0.17713423388696778
H4SBP,S27 SYSTOLIC BLOOD PRESSURE -- W4,cardiometabolic,FRIEND_CONTACT_SUM,FRIEND_N_NOMINEES,0.07907744293699334,0.072564791852583,0.27782406487356726
H4DBP,S27 DIASTOLIC BLOOD PRESSURE -- W4,cardiometabolic,FRIEND_DISCLOSURE_ANY,FRIEND_N_NOMINEES,-0.04908679007509703,0.12781452540745555,0.7015662342304606
H4DBP,S27 DIASTOLIC BLOOD PRESSURE -- W4,cardiometabolic,FRIEND_DISCLOSURE_ANY,FRIEND_CONTACT_SUM,0.06373238011009896,0.050998519216609826,0.2136405991251781
H4DBP,S27 DIASTOLIC BLOOD PRESSURE -- W4,cardiometabolic,FRIEND_N_NOMINEES,FRIEND_DISCLOSURE_ANY,0.20742169003191457,0.3818276170228247,0.5878919663209217
H4DBP,S27 DIASTOLIC BLOOD PRESSURE -- W4,cardiometabolic,FRIEND_N_NOMINEES,FRIEND_CONTACT_SUM,0.04378122565616709,0.02829451608573198,0.12419383045705937
H4DBP,S27 DIASTOLIC BLOOD PRESSURE -- W4,cardiometabolic,FRIEND_CONTACT_SUM,FRIEND_DISCLOSURE_ANY,0.3754515979999996,0.3661415431882087,0.3070513081652578
H4DBP,S27 DIASTOLIC BLOOD PRESSURE -- W4,cardiometabolic,FRIEND_CONTACT_SUM,FRIEND_N_NOMINEES,0.05894405175616449,0.06536551817792785,0.3688390028783985
H4BMICLS,S27 BMI CLASS -- W4,cardiometabolic,FRIEND_DISCLOSURE_ANY,FRIEND_N_NOMINEES,0.0007024391466551594,0.014770106554089873,0.9621408024405556
H4BMICLS,S27 BMI CLASS -- W4,cardiometabolic,FRIEND_DISCLOSURE_ANY,FRIEND_CONTACT_SUM,-0.007516879471443226,0.005766689936466519,0.1946903543359478
H4BMICLS,S27 BMI CLASS -- W4,cardiometabolic,FRIEND_N_NOMINEES,FRIEND_DISCLOSURE_ANY,0.050896611366613956,0.05093443846289354,0.31951225382961335
H4BMICLS,S27 BMI CLASS -- W4,cardiometabolic,FRIEND_N_NOMINEES,FRIEND_CONTACT_SUM,-0.008567849131114517,0.004429990762629915,0.05526256040056139
H4BMICLS,S27 BMI CLASS -- W4,cardiometabolic,FRIEND_CONTACT_SUM,FRIEND_DISCLOSURE_ANY,0.018298088615962473,0.04673403269873662,0.6960367251216283
H4BMICLS,S27 BMI CLASS -- W4,cardiometabolic,FRIEND_CONTACT_SUM,FRIEND_N_NOMINEES,-0.015704483207381256,0.01051449662105033,0.13768413532517224
H5MN1,S13Q1 LAST MO NO CNTRL IMPORT THINGS -- W5,mental_health,FRIEND_DISCLOSURE_ANY,FRIEND_N_NOMINEES,-0.006180246832107785,0.015662703184727244,0.6937918354336583
H5MN1,S13Q1 LAST MO NO CNTRL IMPORT THINGS -- W5,mental_health,FRIEND_DISCLOSURE_ANY,FRIEND_CONTACT_SUM,0.0007267806034189223,0.007128402154758962,0.9189478030688911
H5MN1,S13Q1 LAST MO NO CNTRL IMPORT THINGS -- W5,mental_health,FRIEND_N_NOMINEES,FRIEND_DISCLOSURE_ANY,0.08488143017347918,0.051530498296221285,0.10191209710831646
H5MN1,S13Q1 LAST MO NO CNTRL IMPORT THINGS -- W5,mental_health,FRIEND_N_NOMINEES,FRIEND_CONTACT_SUM,-0.003321166883276487,0.0040626301316390515,0.4151317673177551
H5MN1,S13Q1 LAST MO NO CNTRL IMPORT THINGS -- W5,mental_health,FRIEND_CONTACT_SUM,FRIEND_DISCLOSURE_ANY,0.07333065793719522,0.05348377659577473,0.17269358720928826
H5MN1,S13Q1 LAST MO NO CNTRL IMPORT THINGS -- W5,mental_health,FRIEND_CONTACT_SUM,FRIEND_N_NOMINEES,-0.006429928920915118,0.008392366607493554,0.4449571141024314
H5MN2,S13Q2 LAST MO CONFID HANDLE PERS PBMS -- W5,mental_health,FRIEND_DISCLOSURE_ANY,FRIEND_N_NOMINEES,-0.013508624211367434,0.011604944686608167,0.24652329218827831
H5MN2,S13Q2 LAST MO CONFID HANDLE PERS PBMS -- W5,mental_health,FRIEND_DISCLOSURE_ANY,FRIEND_CONTACT_SUM,0.011453780000763036,0.005120217291793698,0.026978534023890246
H5MN2,S13Q2 LAST MO CONFID HANDLE PERS PBMS -- W5,mental_health,FRIEND_N_NOMINEES,FRIEND_DISCLOSURE_ANY,0.06203101813536058,0.048379503623919566,0.20204543865563168
H5MN2,S13Q2 LAST MO CONFID HANDLE PERS PBMS -- W5,mental_health,FRIEND_N_NOMINEES,FRIEND_CONTACT_SUM,0.0057747125309716065,0.002934269434821211,0.051177305356437
H5MN2,S13Q2 LAST MO CONFID HANDLE PERS PBMS -- W5,mental_health,FRIEND_CONTACT_SUM,FRIEND_DISCLOSURE_ANY,0.08666607151526659,0.04770026113684461,0.07152005636910612
H5MN2,S13Q2 LAST MO CONFID HANDLE PERS PBMS -- W5,mental_health,FRIEND_CONTACT_SUM,FRIEND_N_NOMINEES,0.006635637454610887,0.006418189046228621,0.30309710684834584
H5ID1,S5Q1 HOW IS GEN PHYSICAL HEALTH -- W5,functional,FRIEND_DISCLOSURE_ANY,FRIEND_N_NOMINEES,-0.009750310150878776,0.00995894285829031,0.32935953022393044
H5ID1,S5Q1 HOW IS GEN PHYSICAL HEALTH -- W5,functional,FRIEND_DISCLOSURE_ANY,FRIEND_CONTACT_SUM,-0.0033857645036101864,0.0042894812317727715,0.4313524829845345
H5ID1,S5Q1 HOW IS GEN PHYSICAL HEALTH -- W5,functional,FRIEND_N_NOMINEES,FRIEND_DISCLOSURE_ANY,-0.05031438554156081,0.04938007209436183,0.3101186147959036
H5ID1,S5Q1 HOW IS GEN PHYSICAL HEALTH -- W5,functional,FRIEND_N_NOMINEES,FRIEND_CONTACT_SUM,-0.005046811092440883,0.0035417801283743893,0.15655372148010271
H5ID1,S5Q1 HOW IS GEN PHYSICAL HEALTH -- W5,functional,FRIEND_CONTACT_SUM,FRIEND_DISCLOSURE_ANY,-0.06417142780350457,0.04660435956347937,0.17087916081760995
H5ID1,S5Q1 HOW IS GEN PHYSICAL HEALTH -- W5,functional,FRIEND_CONTACT_SUM,FRIEND_N_NOMINEES,-0.014628344706090406,0.008039552982492764,0.07111143158760615
H5ID4,S5Q4 LIMIT CLIMB SEV. FLIGHT STAIRS -- W5,functional,FRIEND_DISCLOSURE_ANY,FRIEND_N_NOMINEES,0.0011050567025456595,0.006832887622675124,0.8717706704770536
H5ID4,S5Q4 LIMIT CLIMB SEV. FLIGHT STAIRS -- W5,functional,FRIEND_DISCLOSURE_ANY,FRIEND_CONTACT_SUM,-0.004108644761505398,0.0026189014393215382,0.11909691646776824
H5ID4,S5Q4 LIMIT CLIMB SEV. FLIGHT STAIRS -- W5,functional,FRIEND_N_NOMINEES,FRIEND_DISCLOSURE_ANY,-0.008236938092497724,0.02576919751501999,0.7497483306756247
