label,exposure,outcome,binarisation,eta_1,eta_0,ate_perturbed,ate_baseline,ate_shift
FRIEND_DISCLOSURE_ANY -> H5EC1,FRIEND_DISCLOSURE_ANY,H5EC1,raw-binary,0.8,0.8,2.093266042078388,0.627375395540395,1.4658906465379933
FRIEND_DISCLOSURE_ANY -> H5EC1,FRIEND_DISCLOSURE_ANY,H5EC1,raw-binary,0.8,0.9,1.6312447723577015,0.627375395540395,1.0038693768173066
FRIEND_DISCLOSURE_ANY -> H5EC1,FRIEND_DISCLOSURE_ANY,H5EC1,raw-binary,0.8,1.0,1.1692235026370146,0.627375395540395,0.5418481070966196
FRIEND_DISCLOSURE_ANY -> H5EC1,FRIEND_DISCLOSURE_ANY,H5EC1,raw-binary,0.8,1.1,0.7072022329163267,0.627375395540395,0.07982683737593166
FRIEND_DISCLOSURE_ANY -> H5EC1,FRIEND_DISCLOSURE_ANY,H5EC1,raw-binary,0.8,1.2,0.24518096319564017,0.627375395540395,-0.3821944323447548
FRIEND_DISCLOSURE_ANY -> H5EC1,FRIEND_DISCLOSURE_ANY,H5EC1,raw-binary,0.9,0.8,1.7922393159136003,0.627375395540395,1.1648639203732052
FRIEND_DISCLOSURE_ANY -> H5EC1,FRIEND_DISCLOSURE_ANY,H5EC1,raw-binary,0.9,0.9,1.3302180461929132,0.627375395540395,0.7028426506525182
FRIEND_DISCLOSURE_ANY -> H5EC1,FRIEND_DISCLOSURE_ANY,H5EC1,raw-binary,0.9,1.0,0.8681967764722259,0.627375395540395,0.24082138093183092
FRIEND_DISCLOSURE_ANY -> H5EC1,FRIEND_DISCLOSURE_ANY,H5EC1,raw-binary,0.9,1.1,0.4061755067515382,0.627375395540395,-0.22119988878885682
FRIEND_DISCLOSURE_ANY -> H5EC1,FRIEND_DISCLOSURE_ANY,H5EC1,raw-binary,0.9,1.2,-0.05584576296914836,0.627375395540395,-0.6832211585095433
FRIEND_DISCLOSURE_ANY -> H5EC1,FRIEND_DISCLOSURE_ANY,H5EC1,raw-binary,1.0,0.8,1.551417934981769,0.627375395540395,0.9240425394413739
FRIEND_DISCLOSURE_ANY -> H5EC1,FRIEND_DISCLOSURE_ANY,H5EC1,raw-binary,1.0,0.9,1.089396665261082,0.627375395540395,0.462021269720687
FRIEND_DISCLOSURE_ANY -> H5EC1,FRIEND_DISCLOSURE_ANY,H5EC1,raw-binary,1.0,1.0,0.627375395540395,0.627375395540395,0.0
FRIEND_DISCLOSURE_ANY -> H5EC1,FRIEND_DISCLOSURE_ANY,H5EC1,raw-binary,1.0,1.1,0.16535412581970735,0.627375395540395,-0.4620212697206877
FRIEND_DISCLOSURE_ANY -> H5EC1,FRIEND_DISCLOSURE_ANY,H5EC1,raw-binary,1.0,1.2,-0.2966671439009792,0.627375395540395,-0.9240425394413743
FRIEND_DISCLOSURE_ANY -> H5EC1,FRIEND_DISCLOSURE_ANY,H5EC1,raw-binary,1.1,0.8,1.3543822596739072,0.627375395540395,0.7270068641335122
FRIEND_DISCLOSURE_ANY -> H5EC1,FRIEND_DISCLOSURE_ANY,H5EC1,raw-binary,1.1,0.9,0.8923609899532202,0.627375395540395,0.2649855944128252
FRIEND_DISCLOSURE_ANY -> H5EC1,FRIEND_DISCLOSURE_ANY,H5EC1,raw-binary,1.1,1.0,0.43033972023253314,0.627375395540395,-0.19703567530786187
FRIEND_DISCLOSURE_ANY -> H5EC1,FRIEND_DISCLOSURE_ANY,H5EC1,raw-binary,1.1,1.1,-0.031681549488154485,0.627375395540395,-0.6590569450285495
FRIEND_DISCLOSURE_ANY -> H5EC1,FRIEND_DISCLOSURE_ANY,H5EC1,raw-binary,1.1,1.2,-0.49370281920884107,0.627375395540395,-1.121078214749236
FRIEND_DISCLOSURE_ANY -> H5EC1,FRIEND_DISCLOSURE_ANY,H5EC1,raw-binary,1.2,0.8,1.190185863584023,0.627375395540395,0.562810468043628
FRIEND_DISCLOSURE_ANY -> H5EC1,FRIEND_DISCLOSURE_ANY,H5EC1,raw-binary,1.2,0.9,0.7281645938633358,0.627375395540395,0.10078919832294075
FRIEND_DISCLOSURE_ANY -> H5EC1,FRIEND_DISCLOSURE_ANY,H5EC1,raw-binary,1.2,1.0,0.2661433241426487,0.627375395540395,-0.3612320713977463
FRIEND_DISCLOSURE_ANY -> H5EC1,FRIEND_DISCLOSURE_ANY,H5EC1,raw-binary,1.2,1.1,-0.19587794557803898,0.627375395540395,-0.823253341118434
FRIEND_DISCLOSURE_ANY -> H5EC1,FRIEND_DISCLOSURE_ANY,H5EC1,raw-binary,1.2,1.2,-0.6578992152987255,0.627375395540395,-1.2852746108391204
FRIEND_CONTACT_SUM -> H5EC1,FRIEND_CONTACT_SUM,H5EC1,top-quintile-vs-bottom,0.8,0.8,2.3192072992951673,0.731931761279412,1.5872755380157555
FRIEND_CONTACT_SUM -> H5EC1,FRIEND_CONTACT_SUM,H5EC1,top-quintile-vs-bottom,0.8,0.9,1.9828096565640783,0.731931761279412,1.2508778952846664
FRIEND_CONTACT_SUM -> H5EC1,FRIEND_CONTACT_SUM,H5EC1,top-quintile-vs-bottom,0.8,1.0,1.6464120138329887,0.731931761279412,0.9144802525535768
FRIEND_CONTACT_SUM -> H5EC1,FRIEND_CONTACT_SUM,H5EC1,top-quintile-vs-bottom,0.8,1.1,1.3100143711018988,0.731931761279412,0.5780826098224868
FRIEND_CONTACT_SUM -> H5EC1,FRIEND_CONTACT_SUM,H5EC1,top-quintile-vs-bottom,0.8,1.2,0.9736167283708098,0.731931761279412,0.24168496709139786
FRIEND_CONTACT_SUM -> H5EC1,FRIEND_CONTACT_SUM,H5EC1,top-quintile-vs-bottom,0.9,0.8,1.8111627145431806,0.731931761279412,1.0792309532637687
FRIEND_CONTACT_SUM -> H5EC1,FRIEND_CONTACT_SUM,H5EC1,top-quintile-vs-bottom,0.9,0.9,1.4747650718120908,0.731931761279412,0.7428333105326789
FRIEND_CONTACT_SUM -> H5EC1,FRIEND_CONTACT_SUM,H5EC1,top-quintile-vs-bottom,0.9,1.0,1.1383674290810015,0.731931761279412,0.4064356678015896
FRIEND_CONTACT_SUM -> H5EC1,FRIEND_CONTACT_SUM,H5EC1,top-quintile-vs-bottom,0.9,1.1,0.8019697863499117,0.731931761279412,0.07003802507049972
FRIEND_CONTACT_SUM -> H5EC1,FRIEND_CONTACT_SUM,H5EC1,top-quintile-vs-bottom,0.9,1.2,0.46557214361882276,0.731931761279412,-0.2663596176605892
FRIEND_CONTACT_SUM -> H5EC1,FRIEND_CONTACT_SUM,H5EC1,top-quintile-vs-bottom,1.0,0.8,1.4047270467415909,0.731931761279412,0.6727952854621789
FRIEND_CONTACT_SUM -> H5EC1,FRIEND_CONTACT_SUM,H5EC1,top-quintile-vs-bottom,1.0,0.9,1.0683294040105014,0.731931761279412,0.3363976427310894
FRIEND_CONTACT_SUM -> H5EC1,FRIEND_CONTACT_SUM,H5EC1,top-quintile-vs-bottom,1.0,1.0,0.731931761279412,0.731931761279412,0.0
FRIEND_CONTACT_SUM -> H5EC1,FRIEND_CONTACT_SUM,H5EC1,top-quintile-vs-bottom,1.0,1.1,0.3955341185483222,0.731931761279412,-0.33639764273108974
FRIEND_CONTACT_SUM -> H5EC1,FRIEND_CONTACT_SUM,H5EC1,top-quintile-vs-bottom,1.0,1.2,0.059136475817233206,0.731931761279412,-0.6727952854621787
FRIEND_CONTACT_SUM -> H5EC1,FRIEND_CONTACT_SUM,H5EC1,top-quintile-vs-bottom,1.1,0.8,1.0721887730857445,0.731931761279412,0.3402570118063325
FRIEND_CONTACT_SUM -> H5EC1,FRIEND_CONTACT_SUM,H5EC1,top-quintile-vs-bottom,1.1,0.9,0.7357911303546549,0.731931761279412,0.00385936907524298
FRIEND_CONTACT_SUM -> H5EC1,FRIEND_CONTACT_SUM,H5EC1,top-quintile-vs-bottom,1.1,1.0,0.3993934876235656,0.731931761279412,-0.3325382736558464
FRIEND_CONTACT_SUM -> H5EC1,FRIEND_CONTACT_SUM,H5EC1,top-quintile-vs-bottom,1.1,1.1,0.0629958448924758,0.731931761279412,-0.6689359163869362
FRIEND_CONTACT_SUM -> H5EC1,FRIEND_CONTACT_SUM,H5EC1,top-quintile-vs-bottom,1.1,1.2,-0.27340179783861324,0.731931761279412,-1.0053335591180252
FRIEND_CONTACT_SUM -> H5EC1,FRIEND_CONTACT_SUM,H5EC1,top-quintile-vs-bottom,1.2,0.8,0.7950735450392064,0.731931761279412,0.0631417837597944
FRIEND_CONTACT_SUM -> H5EC1,FRIEND_CONTACT_SUM,H5EC1,top-quintile-vs-bottom,1.2,0.9,0.4586759023081169,0.731931761279412,-0.27325585897129506
FRIEND_CONTACT_SUM -> H5EC1,FRIEND_CONTACT_SUM,H5EC1,top-quintile-vs-bottom,1.2,1.0,0.12227825957702751,0.731931761279412,-0.6096535017023844
FRIEND_CONTACT_SUM -> H5EC1,FRIEND_CONTACT_SUM,H5EC1,top-quintile-vs-bottom,1.2,1.1,-0.2141193831540623,0.731931761279412,-0.9460511444334743
FRIEND_CONTACT_SUM -> H5EC1,FRIEND_CONTACT_SUM,H5EC1,top-quintile-vs-bottom,1.2,1.2,-0.5505170258851513,0.731931761279412,-1.2824487871645633
