exposure,outcome,outcome_group,label,beta,p,sd_x,sd_y,rr_basis,rr,evalue
FRIEND_DISCLOSURE_ANY,W4_COG_COMP,cognitive,FRIEND_DISCLOSURE_ANY -> W4_COG_COMP,0.04514524281960543,0.10463170345598653,0.4608019334850287,0.7696018174269023,chinn-2000,1.0249031309673038,1.1846632539619937
FRIEND_N_NOMINEES,W4_COG_COMP,cognitive,FRIEND_N_NOMINEES -> W4_COG_COMP,0.00825336007591001,0.28104375794587705,2.4238869968206953,0.7696018174269023,chinn-2000,1.023936748661221,1.180492542542161
FRIEND_CONTACT_SUM,W4_COG_COMP,cognitive,FRIEND_CONTACT_SUM -> W4_COG_COMP,-0.0024143296478402725,0.45169236636100357,6.1683926993476135,0.7696018174269023,chinn-2000,0.9825447660401434,1.1522307141727728
FRIEND_DISCLOSURE_ANY,H4BMI,cardiometabolic,FRIEND_DISCLOSURE_ANY -> H4BMI,0.32953730475550236,0.2873043216349546,0.4608019334850287,7.488129839207538,chinn-2000,1.0186251709834864,1.1563643011450002
FRIEND_N_NOMINEES,H4BMI,cardiometabolic,FRIEND_N_NOMINEES -> H4BMI,0.03737991473756559,0.664267033040871,2.4238869968206953,7.488129839207538,chinn-2000,1.011071637531587,1.1168743723224124
FRIEND_CONTACT_SUM,H4BMI,cardiometabolic,FRIEND_CONTACT_SUM -> H4BMI,-0.06231585668608366,0.10493332965479835,6.1683926993476135,7.488129839207538,chinn-2000,0.9543611726080545,1.2716699856309897
FRIEND_DISCLOSURE_ANY,H4WAIST,cardiometabolic,FRIEND_DISCLOSURE_ANY -> H4WAIST,0.4345558426363038,0.584030296188248,0.4608019334850287,17.62916016470102,chinn-2000,1.0103900134767183,1.1128495950528925
FRIEND_N_NOMINEES,H4WAIST,cardiometabolic,FRIEND_N_NOMINEES -> H4WAIST,0.13359984084242188,0.5351262755000541,2.4238869968206953,17.62916016470102,chinn-2000,1.016856326401229,1.1477779141588393
FRIEND_CONTACT_SUM,H4WAIST,cardiometabolic,FRIEND_CONTACT_SUM -> H4WAIST,-0.13367896612904606,0.13881952934347147,6.1683926993476135,17.62916016470102,chinn-2000,0.9583289025501606,1.2564945029802297
FRIEND_DISCLOSURE_ANY,H4SBP,cardiometabolic,FRIEND_DISCLOSURE_ANY -> H4SBP,0.463760305107916,0.3787283221887959,0.4608019334850287,13.723490712305665,chinn-2000,1.0142713606197071,1.1345835892319511
FRIEND_N_NOMINEES,H4SBP,cardiometabolic,FRIEND_N_NOMINEES -> H4SBP,-0.01837601158687141,0.9065987092992128,2.4238869968206953,13.723490712305665,chinn-2000,0.9970508339017956,1.0574247464387474
FRIEND_CONTACT_SUM,H4SBP,cardiometabolic,FRIEND_CONTACT_SUM -> H4SBP,0.053982006861293313,0.39191111542256324,6.1683926993476135,13.723490712305665,chinn-2000,1.0223255033698309,1.173401416309476
FRIEND_DISCLOSURE_ANY,H4DBP,cardiometabolic,FRIEND_DISCLOSURE_ANY -> H4DBP,0.17531394871722616,0.6615378361371438,0.4608019334850287,10.350684979451811,chinn-2000,1.0071276478985864,1.0918533893420974
FRIEND_N_NOMINEES,H4DBP,cardiometabolic,FRIEND_N_NOMINEES -> H4DBP,-0.03906212524128869,0.7684653177520062,2.4238869968206953,10.350684979451811,chinn-2000,0.9917103876267188,1.1001672686379074
FRIEND_CONTACT_SUM,H4DBP,cardiometabolic,FRIEND_CONTACT_SUM -> H4DBP,0.05637135701838894,0.30920684475553856,6.1683926993476135,10.350684979451811,chinn-2000,1.0310425951018063,1.2099454676680705
FRIEND_DISCLOSURE_ANY,H4BMICLS,cardiometabolic,FRIEND_DISCLOSURE_ANY -> H4BMICLS,0.054042360919120035,0.30780629609195587,0.4608019334850287,1.2892843767538902,chinn-2000,1.0177322414252656,1.152070150487561
FRIEND_N_NOMINEES,H4BMICLS,cardiometabolic,FRIEND_N_NOMINEES -> H4BMICLS,0.003811462021200097,0.8042739726124244,2.4238869968206953,1.2892843767538902,chinn-2000,1.0065420425902976,1.0876890752627917
FRIEND_CONTACT_SUM,H4BMICLS,cardiometabolic,FRIEND_CONTACT_SUM -> H4BMICLS,-0.009797756614012429,0.13336257249017272,6.1683926993476135,1.2892843767538902,chinn-2000,0.9582399135753182,1.2568385336372376
