outcome,outcome_label,outcome_group,adj_tier,beta_trend,se_trend,p_trend
W4_COG_COMP,W4 cognitive composite,cognitive,L0+L1+AHPVT,-0.0059543994297798185,0.01090556591764915,0.5859970497272528
H4BMI,S27 BMI -- W4,cardiometabolic,L0+L1+AHPVT,0.19848523641224303,0.10205365261713278,0.05392817002510608
H4WAIST,S27 MEASURED WAIST (CM) -- W4,cardiometabolic,L0+L1+AHPVT,0.4953954846758213,0.2546374981557991,0.05385735115576096
H4SBP,S27 SYSTOLIC BLOOD PRESSURE -- W4,cardiometabolic,L0+L1+AHPVT,0.26833137963373943,0.20438211490011307,0.1915150497255132
H4DBP,S27 DIASTOLIC BLOOD PRESSURE -- W4,cardiometabolic,L0+L1+AHPVT,0.2229882739811586,0.17519880910900792,0.20535293415469594
H4BMICLS,S27 BMI CLASS -- W4,cardiometabolic,L0+L1+AHPVT,0.029019372418906363,0.017904060915412898,0.10745952566123187
H5MN1,S13Q1 LAST MO NO CNTRL IMPORT THINGS -- W5,mental_health,L0+L1,0.022754641814313498,0.017802692856800605,0.20345405631331395
H5MN2,S13Q2 LAST MO CONFID HANDLE PERS PBMS -- W5,mental_health,L0+L1,-0.003560472246671831,0.017380431576439665,0.8380031921511977
H5ID1,S5Q1 HOW IS GEN PHYSICAL HEALTH -- W5,functional,L0+L1,-0.017477768949209105,0.014893250563372965,0.24271007897682986
H5ID4,S5Q4 LIMIT CLIMB SEV. FLIGHT STAIRS -- W5,functional,L0+L1,0.010480699589489353,0.008801471766699123,0.23588949843042778
H5ID16,S5Q16 HOW OFTEN TROUBLE SLEEPING -- W5,functional,L0+L1,-0.009386215596138121,0.02054271389656122,0.6484909419608692
H5LM5,S3Q5 CURRENTLY WORK -- W5,ses,L0+L1,0.0027754900076860153,0.006928332912240042,0.6893672416639086
H5EC1,S4Q1 INCOME PERS EARNINGS [W4-W5] -- W5,ses,L0+L1,0.0187078610110612,0.051361708458372554,0.7162679059360617
