outcome,outcome_label,outcome_group,adj,n,beta_pop,se_pop,p_pop,beta_lone,se_lone,p_lone,beta_inter,se_inter,p_inter,ci_lo_inter,ci_hi_inter,weight_col_used,paradox_test_pass
H4BMI,S27 BMI—W4,cardiometabolic,L0,3384,-0.8810731143680542,0.11933779051200272,2.9311684328593766e-11,0.04470751647892168,0.15508705548811488,0.7736700574222085,0.101691553531509,0.151896963488691,0.5045689186729787,-0.19927280869027858,0.40265591575329657,GSWGT4_2,False
H4BMI,S27 BMI—W4,cardiometabolic,L0+L1,3377,-0.7618088219299132,0.11736529255013528,2.4132406792725587e-09,-0.09404251374564881,0.1724664929715764,0.5866452881377816,0.04507953426088372,0.1452135889753658,0.7568063255220345,-0.24264257807193862,0.3328016465937061,GSWGT4_2,False
H4BMI,S27 BMI—W4,cardiometabolic,L0+L1+AHPVT,3234,-0.7332648614076623,0.11861299422573693,1.0543604572097548e-08,0.03427520858093447,0.18108906287453894,0.8502216961021255,0.04416256597054312,0.14918142692508965,0.7677533742108059,-0.2514213086418587,0.33974644058294495,GSWGT4_2,False
H4WAIST,S27 MEASURED WAIST (CM)—W4,cardiometabolic,L0,3401,-2.2235301136122816,0.252040925113975,1.708043813175586e-14,-0.22175121165130407,0.35126907031034266,0.529139872968229,0.2572109444098027,0.3694709571126686,0.48777073728219233,-0.47484839642861104,0.9892702852482165,GSWGT4_2,False
H4WAIST,S27 MEASURED WAIST (CM)—W4,cardiometabolic,L0+L1,3394,-1.9537937390994067,0.24919279739799977,2.8453105802719767e-12,-0.6802219968987552,0.4021987868817965,0.09356836929850441,0.13319352854345556,0.34800350787524015,0.7026407837323794,-0.5563308134386297,0.8227178705255408,GSWGT4_2,False
H4WAIST,S27 MEASURED WAIST (CM)—W4,cardiometabolic,L0+L1+AHPVT,3250,-1.888341988769891,0.2524821079922109,1.802000888044079e-11,-0.4219453833361222,0.42050356552302204,0.3178170105453498,0.09839623098135997,0.35657735165930715,0.7830977624029466,-0.608116083419628,0.8049085453823479,GSWGT4_2,False
H5MN1,S13Q1 LAST MO NO CNTRL IMPORT THINGS—W5,mental_health,L0,2492,-0.05674667623378866,0.024002027305262897,0.019788602679182185,0.10431185695589398,0.02855403325473412,0.0003956328774795,0.0026564707644829624,0.024931946045596693,0.9153374944000242,-0.04674298442027908,0.052055925949245005,GSWGT4_2,False
H5MN1,S13Q1 LAST MO NO CNTRL IMPORT THINGS—W5,mental_health,L0+L1,2489,-0.04481306900391299,0.024570361881808195,0.07083856359562606,-0.010372950393399413,0.033397909783270605,0.756692003994631,0.004431459788196873,0.024871700727773137,0.8589091652681669,-0.04484862702185131,0.05371154659824506,GSWGT4_2,False
H5MN1,S13Q1 LAST MO NO CNTRL IMPORT THINGS—W5,mental_health,L0+L1+AHPVT,2387,-0.04886756217571396,0.025104801390854355,0.054094105132390546,-0.007521374699126858,0.033212418613328375,0.8212543449913108,-0.0002800254969246743,0.026584681384785404,0.9916145054431627,-0.052954163900205256,0.052394112906355914,GSWGT4_2,False
H5MN2,S13Q2 LAST MO CONFID HANDLE PERS PBMS—W5,mental_health,L0,2485,0.05064889783228139,0.020748755369811994,0.016210403983575913,-0.08592986682335418,0.022770824611818386,0.00025893024285990405,-0.014861683855443432,0.023521005881379477,0.528774276200453,-0.06146554196634854,0.03174217425546168,GSWGT4_2,False
H5MN2,S13Q2 LAST MO CONFID HANDLE PERS PBMS—W5,mental_health,L0+L1,2482,0.037203368885980886,0.02018135102508832,0.06790674179224804,0.028300897857788127,0.028873230769793937,0.32911093964305604,-0.014730462505139909,0.02312556294532137,0.5254393738761493,-0.06055080112814754,0.031089876117867725,GSWGT4_2,False
H5MN2,S13Q2 LAST MO CONFID HANDLE PERS PBMS—W5,mental_health,L0+L1+AHPVT,2380,0.03748889319342192,0.02041010855991087,0.06889392893239783,0.015513012155917397,0.029727306995402766,0.6028095617887902,-0.018026129069507475,0.02419217276993362,0.4577585273074665,-0.06595981833647199,0.02990756019745704,GSWGT4_2,False
H5ID1,S5Q1 HOW IS GEN PHYSICAL HEALTH—W5,functional,L0,2545,-0.10777648952100398,0.017409652029968362,1.0122764868255598e-08,0.10526153263613512,0.022585694972960712,8.755707052717182e-06,0.002247423849019093,0.023897738685135665,0.9252427414862211,-0.04510288202098785,0.04959772971902604,GSWGT4_2,False
H5ID1,S5Q1 HOW IS GEN PHYSICAL HEALTH—W5,functional,L0+L1,2542,-0.08193119423263573,0.01823585978150017,1.7188064897650986e-05,-0.0027207352041941956,0.028128566888027222,0.9231176680036489,-0.007570200921257916,0.02485066339684511,0.7612150258557332,-0.056808604956745085,0.04166820311422925,GSWGT4_2,False
H5ID1,S5Q1 HOW IS GEN PHYSICAL HEALTH—W5,functional,L0+L1+AHPVT,2438,-0.08042422394071841,0.018527075684437035,3.1258500849397144e-05,0.01804121682819914,0.02732981132105066,0.5105259972219891,-0.008621989135695795,0.0252287448955044,0.7331774806874173,-0.05860951319635267,0.04136553492496109,GSWGT4_2,False
