outcome,outcome_label,cell,n_cell,weighted_mean,below_positivity_floor
H4BMI,S27 BMI—W4,low_pop_low_lone,2004,29.367981297627907,False
H4BMI,S27 BMI—W4,low_pop_high_lone,1162,29.534983851627114,False
H4BMI,S27 BMI—W4,high_pop_low_lone,1239,28.326294863413924,False
H4BMI,S27 BMI—W4,high_pop_high_lone,637,28.725609476980186,False
H4WAIST,S27 MEASURED WAIST (CM)—W4,low_pop_low_lone,2016,99.6309531851085,False
H4WAIST,S27 MEASURED WAIST (CM)—W4,low_pop_high_lone,1169,99.52872309216616,False
H4WAIST,S27 MEASURED WAIST (CM)—W4,high_pop_low_lone,1245,97.17885484478718,False
H4WAIST,S27 MEASURED WAIST (CM)—W4,high_pop_high_lone,637,96.75486681967827,False
H5MN1,S13Q1 LAST MO NO CNTRL IMPORT THINGS—W5,low_pop_low_lone,1424,2.365620483860531,False
H5MN1,S13Q1 LAST MO NO CNTRL IMPORT THINGS—W5,low_pop_high_lone,795,2.5933920606291325,False
H5MN1,S13Q1 LAST MO NO CNTRL IMPORT THINGS—W5,high_pop_low_lone,946,2.3503879861135903,False
H5MN1,S13Q1 LAST MO NO CNTRL IMPORT THINGS—W5,high_pop_high_lone,469,2.5126180767258304,False
H5MN2,S13Q2 LAST MO CONFID HANDLE PERS PBMS—W5,low_pop_low_lone,1421,4.102478180698027,False
H5MN2,S13Q2 LAST MO CONFID HANDLE PERS PBMS—W5,low_pop_high_lone,795,3.936087405452851,False
H5MN2,S13Q2 LAST MO CONFID HANDLE PERS PBMS—W5,high_pop_low_lone,943,4.170299735372002,False
H5MN2,S13Q2 LAST MO CONFID HANDLE PERS PBMS—W5,high_pop_high_lone,469,3.959743847793106,False
H5ID1,S5Q1 HOW IS GEN PHYSICAL HEALTH—W5,low_pop_low_lone,1449,2.471829135837387,False
H5ID1,S5Q1 HOW IS GEN PHYSICAL HEALTH—W5,low_pop_high_lone,809,2.649333928479753,False
H5ID1,S5Q1 HOW IS GEN PHYSICAL HEALTH—W5,high_pop_low_lone,970,2.3088508202279248,False
H5ID1,S5Q1 HOW IS GEN PHYSICAL HEALTH—W5,high_pop_high_lone,481,2.5201502613345044,False
