label,exposure,outcome,binarisation,eta_1,eta_0,ate_perturbed,ate_baseline,ate_shift
z(IDGX2) x z(H1FS13) -> H5MN2,_paradox,H5MN2,top-quintile-vs-bottom,0.8,0.8,0.7956004602087017,-0.11770844507963342,0.9133089052883351
z(IDGX2) x z(H1FS13) -> H5MN2,_paradox,H5MN2,top-quintile-vs-bottom,0.8,0.9,0.5916188206197517,-0.11770844507963342,0.7093272656993851
z(IDGX2) x z(H1FS13) -> H5MN2,_paradox,H5MN2,top-quintile-vs-bottom,0.8,1.0,0.38763718103080164,-0.11770844507963342,0.5053456261104351
z(IDGX2) x z(H1FS13) -> H5MN2,_paradox,H5MN2,top-quintile-vs-bottom,0.8,1.1,0.1836555414418514,-0.11770844507963342,0.30136398652148483
z(IDGX2) x z(H1FS13) -> H5MN2,_paradox,H5MN2,top-quintile-vs-bottom,0.8,1.2,-0.02032609814709837,-0.11770844507963342,0.09738234693253506
z(IDGX2) x z(H1FS13) -> H5MN2,_paradox,H5MN2,top-quintile-vs-bottom,0.9,0.8,0.5148528901473489,-0.11770844507963342,0.6325613352269823
z(IDGX2) x z(H1FS13) -> H5MN2,_paradox,H5MN2,top-quintile-vs-bottom,0.9,0.9,0.31087125055839887,-0.11770844507963342,0.4285796956380323
z(IDGX2) x z(H1FS13) -> H5MN2,_paradox,H5MN2,top-quintile-vs-bottom,0.9,1.0,0.10688961096944884,-0.11770844507963342,0.22459805604908226
z(IDGX2) x z(H1FS13) -> H5MN2,_paradox,H5MN2,top-quintile-vs-bottom,0.9,1.1,-0.09709202861950139,-0.11770844507963342,0.020616416460132028
z(IDGX2) x z(H1FS13) -> H5MN2,_paradox,H5MN2,top-quintile-vs-bottom,0.9,1.2,-0.3010736682084512,-0.11770844507963342,-0.1833652231288178
z(IDGX2) x z(H1FS13) -> H5MN2,_paradox,H5MN2,top-quintile-vs-bottom,1.0,0.8,0.2902548340982666,-0.11770844507963342,0.4079632791779
z(IDGX2) x z(H1FS13) -> H5MN2,_paradox,H5MN2,top-quintile-vs-bottom,1.0,0.9,0.08627319450931657,-0.11770844507963342,0.20398163958895
z(IDGX2) x z(H1FS13) -> H5MN2,_paradox,H5MN2,top-quintile-vs-bottom,1.0,1.0,-0.11770844507963342,-0.11770844507963342,0.0
z(IDGX2) x z(H1FS13) -> H5MN2,_paradox,H5MN2,top-quintile-vs-bottom,1.0,1.1,-0.3216900846685837,-0.11770844507963342,-0.20398163958895027
z(IDGX2) x z(H1FS13) -> H5MN2,_paradox,H5MN2,top-quintile-vs-bottom,1.0,1.2,-0.5256717242575334,-0.11770844507963342,-0.4079632791779
z(IDGX2) x z(H1FS13) -> H5MN2,_paradox,H5MN2,top-quintile-vs-bottom,1.1,0.8,0.10649278823992635,-0.11770844507963342,0.22420123331955977
z(IDGX2) x z(H1FS13) -> H5MN2,_paradox,H5MN2,top-quintile-vs-bottom,1.1,0.9,-0.09748885134902364,-0.11770844507963342,0.020219593730609775
z(IDGX2) x z(H1FS13) -> H5MN2,_paradox,H5MN2,top-quintile-vs-bottom,1.1,1.0,-0.3014704909379736,-0.11770844507963342,-0.18376204585834022
z(IDGX2) x z(H1FS13) -> H5MN2,_paradox,H5MN2,top-quintile-vs-bottom,1.1,1.1,-0.505452130526924,-0.11770844507963342,-0.38774368544729054
z(IDGX2) x z(H1FS13) -> H5MN2,_paradox,H5MN2,top-quintile-vs-bottom,1.1,1.2,-0.7094337701158737,-0.11770844507963342,-0.5917253250362403
z(IDGX2) x z(H1FS13) -> H5MN2,_paradox,H5MN2,top-quintile-vs-bottom,1.2,0.8,-0.04664224997535683,-0.11770844507963342,0.07106619510427659
z(IDGX2) x z(H1FS13) -> H5MN2,_paradox,H5MN2,top-quintile-vs-bottom,1.2,0.9,-0.2506238895643068,-0.11770844507963342,-0.1329154444846734
z(IDGX2) x z(H1FS13) -> H5MN2,_paradox,H5MN2,top-quintile-vs-bottom,1.2,1.0,-0.45460552915325686,-0.11770844507963342,-0.33689708407362345
z(IDGX2) x z(H1FS13) -> H5MN2,_paradox,H5MN2,top-quintile-vs-bottom,1.2,1.1,-0.658587168742207,-0.11770844507963342,-0.5408787236625736
z(IDGX2) x z(H1FS13) -> H5MN2,_paradox,H5MN2,top-quintile-vs-bottom,1.2,1.2,-0.862568808331157,-0.11770844507963342,-0.7448603632515236
z(IDGX2) x z(H1FS13) -> H4WAIST,_paradox,H4WAIST,top-quintile-vs-bottom,0.8,0.8,23.36272929039299,1.2634708602035434,22.099258430189447
z(IDGX2) x z(H1FS13) -> H4WAIST,_paradox,H4WAIST,top-quintile-vs-bottom,0.8,0.9,18.45679403451519,1.2634708602035434,17.193323174311647
z(IDGX2) x z(H1FS13) -> H4WAIST,_paradox,H4WAIST,top-quintile-vs-bottom,0.8,1.0,13.550858778637389,1.2634708602035434,12.287387918433845
z(IDGX2) x z(H1FS13) -> H4WAIST,_paradox,H4WAIST,top-quintile-vs-bottom,0.8,1.1,8.64492352275958,1.2634708602035434,7.381452662556036
z(IDGX2) x z(H1FS13) -> H4WAIST,_paradox,H4WAIST,top-quintile-vs-bottom,0.8,1.2,3.7389882668817838,1.2634708602035434,2.4755174066782404
z(IDGX2) x z(H1FS13) -> H4WAIST,_paradox,H4WAIST,top-quintile-vs-bottom,0.9,0.8,16.536402669040854,1.2634708602035434,15.27293180883731
z(IDGX2) x z(H1FS13) -> H4WAIST,_paradox,H4WAIST,top-quintile-vs-bottom,0.9,0.9,11.630467413163053,1.2634708602035434,10.36699655295951
z(IDGX2) x z(H1FS13) -> H4WAIST,_paradox,H4WAIST,top-quintile-vs-bottom,0.9,1.0,6.724532157285251,1.2634708602035434,5.461061297081708
