exposure,outcome,outcome_group,label,beta,p,sd_x,sd_y,rr_basis,rr,evalue
z(IDGX2) x z(H1FS13),H4BMI,cardiometabolic,z(IDGX2) x z(H1FS13) -> H4BMI,0.101691553531509,0.5045689186729787,1.0,7.488129839207538,chinn-2000,1.0124348115118955,1.1246374676713282
z(IDGX2) x z(H1FS13),H4BMI,cardiometabolic,z(IDGX2) x z(H1FS13) -> H4BMI,0.04507953426088372,0.7568063255220345,1.0,7.488129839207538,chinn-2000,1.0054933540684772,1.0798138156345818
z(IDGX2) x z(H1FS13),H4BMI,cardiometabolic,z(IDGX2) x z(H1FS13) -> H4BMI,0.04416256597054312,0.7677533742108059,1.0,7.488129839207538,chinn-2000,1.0053813129719469,1.0789358607664166
z(IDGX2) x z(H1FS13),H4WAIST,cardiometabolic,z(IDGX2) x z(H1FS13) -> H4WAIST,0.2572109444098027,0.48777073728219233,1.0,17.62916016470102,chinn-2000,1.0133655077398191,1.1297448209228858
z(IDGX2) x z(H1FS13),H4WAIST,cardiometabolic,z(IDGX2) x z(H1FS13) -> H4WAIST,0.13319352854345556,0.7026407837323794,1.0,17.62916016470102,chinn-2000,1.0068990089012488,1.0902453059099844
z(IDGX2) x z(H1FS13),H4WAIST,cardiometabolic,z(IDGX2) x z(H1FS13) -> H4WAIST,0.09839623098135997,0.7830977624029466,1.0,17.62916016470102,chinn-2000,1.0050920377575476,1.0766320028544913
z(IDGX2) x z(H1FS13),H5MN1,mental_health,z(IDGX2) x z(H1FS13) -> H5MN1,0.0026564707644829624,0.9153374944000242,1.0,1.052259652418585,chinn-2000,1.002299971578311,1.0503131098591192
z(IDGX2) x z(H1FS13),H5MN1,mental_health,z(IDGX2) x z(H1FS13) -> H5MN1,0.004431459788196873,0.8589091652681669,1.0,1.052259652418585,chinn-2000,1.0038397039195435,1.0659238987337893
z(IDGX2) x z(H1FS13),H5MN1,mental_health,z(IDGX2) x z(H1FS13) -> H5MN1,-0.0002800254969246743,0.9916145054431627,1.0,1.052259652418585,chinn-2000,0.9997578617129871,1.0158067589728068
z(IDGX2) x z(H1FS13),H5MN2,mental_health,z(IDGX2) x z(H1FS13) -> H5MN2,-0.014861683855443432,0.528774276200453,1.0,0.9449202590801405,chinn-2000,0.9857894775066562,1.135341694794679
z(IDGX2) x z(H1FS13),H5MN2,mental_health,z(IDGX2) x z(H1FS13) -> H5MN2,-0.014730462505139909,0.5254393738761493,1.0,0.9449202590801405,chinn-2000,0.9859140615306222,1.1346670465771518
z(IDGX2) x z(H1FS13),H5MN2,mental_health,z(IDGX2) x z(H1FS13) -> H5MN2,-0.018026129069507475,0.4577585273074665,1.0,0.9449202590801405,chinn-2000,0.9827898563856073,1.1509962476754851
z(IDGX2) x z(H1FS13),H5ID1,functional,z(IDGX2) x z(H1FS13) -> H5ID1,0.002247423849019093,0.9252427414862211,1.0,0.9817523284987635,chinn-2000,1.0020853399837124,1.0477984521787935
z(IDGX2) x z(H1FS13),H5ID1,functional,z(IDGX2) x z(H1FS13) -> H5ID1,-0.007570200921257916,0.7612150258557332,1.0,0.9817523284987635,chinn-2000,0.9930076357517084,1.0912507808035614
z(IDGX2) x z(H1FS13),H5ID1,functional,z(IDGX2) x z(H1FS13) -> H5ID1,-0.008621989135695795,0.7331774806874173,1.0,0.9817523284987635,chinn-2000,0.992040007238937,1.0979585335029667
