exposure,exposure_group,outcome,outcome_label,outcome_group,n,beta,se,p,d1_pass,beta_L0,beta_L0_L1,beta_full,d4a_rel_shift,d4a_sign_stable,d4a_pass,d4b_beta_levels,d4b_beta_trajectory,d4b_abs_shift,d4b_pct_attenuation,beta_no_ahpvt,se_no_ahpvt,p_no_ahpvt,d1_q
IDGX2,peer_network,H4BMI,S27 BMI—W4,cardiometabolic,3234,-0.19985610944848214,0.031856308728864954,6.828839480303309e-09,True,-0.24129591757928487,-0.20767576380861766,-0.19985610944848214,0.16188770973607522,True,True,-0.20767576380861766,-0.19985610944848214,0.007819654360135514,0.03765318695224196,,,,1.638921475272794e-07
IDGX2,peer_network,H4SBP,S27 SYSTOLIC BLOOD PRESSURE—W4,cardiometabolic,3197,-0.08417229006833396,0.07567934703513746,0.2684240508286665,False,-0.09843318862627853,-0.06032319589855473,-0.08417229006833396,0.6317634893186566,True,False,-0.06032319589855473,-0.08417229006833396,0.023849094169779234,-0.3953552827321376,,,,0.6888391576744926
IDGX2,peer_network,H4DBP,S27 DIASTOLIC BLOOD PRESSURE—W4,cardiometabolic,3197,-0.09307794548019771,0.053818919614208136,0.08648093000053218,False,-0.10888673784637123,-0.08380539520470132,-0.09307794548019771,0.2992807632540453,True,True,-0.08380539520470132,-0.09307794548019771,0.009272550275496394,-0.11064383447924153,,,,0.7320406064578795
IDGX2,peer_network,H4WAIST,S27 MEASURED WAIST (CM)—W4,cardiometabolic,3250,-0.5138444657946202,0.06876838853500078,1.867217639823543e-11,True,-0.606717137579309,-0.5329220183215785,-0.5138444657946202,0.13847264087557498,True,True,-0.5329220183215785,-0.5138444657946202,0.019077552526958308,0.03579801898041757,,,,4.4813223355765035e-10
IDGX2,peer_network,H4BMICLS,S27 BMI CLASS—W4,cardiometabolic,3234,-0.03227963373661734,0.0055184732919598125,4.973692528082508e-08,True,-0.039057274085767535,-0.03335567783188726,-0.03227963373661734,0.17093330504678514,True,True,-0.03335567783188726,-0.03227963373661734,0.0010760440952699221,0.032259698054801556,,,,1.193686206739802e-06
IDGX2,peer_network,H5MN1,S13Q1 LAST MO NO CNTRL IMPORT THINGS—W5,mental_health,2387,-0.013263398943864614,0.00678758185989501,0.05318621434999879,False,-0.016591336798988596,-0.012348608765194802,-0.013263398943864614,0.3435794359079659,True,False,-0.012348608765194802,-0.013263398943864614,0.000914790178669812,-0.07408042444815277,,,,0.25335027732474347
IDGX2,peer_network,H5MN2,S13Q2 LAST MO CONFID HANDLE PERS PBMS—W5,mental_health,2380,0.01079859824293973,0.005544796023053858,0.05397550824477025,False,0.015251074886487522,0.010664968565486085,0.01079859824293973,0.4300159248329123,True,False,0.010664968565486085,0.01079859824293973,0.00013362967745364496,-0.012529776964003148,,,,0.20134530828894892
IDGX2,peer_network,H5ID1,S5Q1 HOW IS GEN PHYSICAL HEALTH—W5,functional,2438,-0.021554909266918932,0.00486438777032561,2.1945772989621043e-05,True,-0.030397149202475358,-0.02198122688897557,-0.021554909266918932,0.3828686340397449,True,False,-0.02198122688897557,-0.021554909266918932,0.0004263176220566378,0.019394623612681627,,,,0.0005266985517509051
IDGX2,peer_network,H5ID4,S5Q4 LIMIT CLIMB SEV. FLIGHT STAIRS—W5,functional,2439,-0.010678221884171592,0.002913685400687106,0.00037982342646536774,True,-0.013599171468562314,-0.01047121059570948,-0.010678221884171592,0.29872008057353927,True,True,-0.01047121059570948,-0.010678221884171592,0.00020701128846211184,-0.01976956595132684,,,,0.009115762235168825
IDGX2,peer_network,H5ID16,S5Q16 HOW OFTEN TROUBLE SLEEPING—W5,functional,2437,0.0028312113082065255,0.008666462834300465,0.7445151691810923,False,-0.0004082699919968225,0.004762501568798485,0.0028312113082065255,1.0857259543328242,False,False,0.004762501568798485,0.0028312113082065255,0.001931290260591959,0.40552013111025553,,,,0.9877576717173318
IDGX2,peer_network,H5LM5,S3Q5 CURRENTLY WORK—W5,ses,2436,-0.0059803163997328036,0.002300184715780749,0.010580759184170827,True,-0.007277581726831003,-0.006260271204972081,-0.0059803163997328036,0.16250262784956435,True,True,-0.006260271204972081,-0.0059803163997328036,0.00027995480523927783,0.044719277499819854,-0.006260271204972081,0.0022371010190646596,0.006048501457626119,0.14063764568134562
