exposure,outcome,wave,kind,label,rr_au,rr_uy,B,rr_observed,explains_away
IDGX2,H4TO39,W4,count-0-30,IDGX2 -> H4TO39,1.5,1.5,1.125,1.0659482117874213,True
IDGX2,H4TO39,W4,count-0-30,IDGX2 -> H4TO39,1.5,2.0,1.2,1.0659482117874213,True
IDGX2,H4TO39,W4,count-0-30,IDGX2 -> H4TO39,1.5,3.0,1.2857142857142858,1.0659482117874213,True
IDGX2,H4TO39,W4,count-0-30,IDGX2 -> H4TO39,1.5,5.0,1.3636363636363635,1.0659482117874213,True
IDGX2,H4TO39,W4,count-0-30,IDGX2 -> H4TO39,2.0,1.5,1.2,1.0659482117874213,True
IDGX2,H4TO39,W4,count-0-30,IDGX2 -> H4TO39,2.0,2.0,1.3333333333333333,1.0659482117874213,True
IDGX2,H4TO39,W4,count-0-30,IDGX2 -> H4TO39,2.0,3.0,1.5,1.0659482117874213,True
IDGX2,H4TO39,W4,count-0-30,IDGX2 -> H4TO39,2.0,5.0,1.6666666666666667,1.0659482117874213,True
IDGX2,H4TO39,W4,count-0-30,IDGX2 -> H4TO39,3.0,1.5,1.2857142857142858,1.0659482117874213,True
IDGX2,H4TO39,W4,count-0-30,IDGX2 -> H4TO39,3.0,2.0,1.5,1.0659482117874213,True
IDGX2,H4TO39,W4,count-0-30,IDGX2 -> H4TO39,3.0,3.0,1.8,1.0659482117874213,True
IDGX2,H4TO39,W4,count-0-30,IDGX2 -> H4TO39,3.0,5.0,2.142857142857143,1.0659482117874213,True
IDGX2,H4TO39,W4,count-0-30,IDGX2 -> H4TO39,5.0,1.5,1.3636363636363635,1.0659482117874213,True
IDGX2,H4TO39,W4,count-0-30,IDGX2 -> H4TO39,5.0,2.0,1.6666666666666667,1.0659482117874213,True
IDGX2,H4TO39,W4,count-0-30,IDGX2 -> H4TO39,5.0,3.0,2.142857142857143,1.0659482117874213,True
IDGX2,H4TO39,W4,count-0-30,IDGX2 -> H4TO39,5.0,5.0,2.7777777777777777,1.0659482117874213,True
IDGX2,H5TO12,W5,count-0-365,IDGX2 -> H5TO12,1.5,1.5,1.125,1.1136206909920734,True
IDGX2,H5TO12,W5,count-0-365,IDGX2 -> H5TO12,1.5,2.0,1.2,1.1136206909920734,True
IDGX2,H5TO12,W5,count-0-365,IDGX2 -> H5TO12,1.5,3.0,1.2857142857142858,1.1136206909920734,True
IDGX2,H5TO12,W5,count-0-365,IDGX2 -> H5TO12,1.5,5.0,1.3636363636363635,1.1136206909920734,True
IDGX2,H5TO12,W5,count-0-365,IDGX2 -> H5TO12,2.0,1.5,1.2,1.1136206909920734,True
IDGX2,H5TO12,W5,count-0-365,IDGX2 -> H5TO12,2.0,2.0,1.3333333333333333,1.1136206909920734,True
IDGX2,H5TO12,W5,count-0-365,IDGX2 -> H5TO12,2.0,3.0,1.5,1.1136206909920734,True
IDGX2,H5TO12,W5,count-0-365,IDGX2 -> H5TO12,2.0,5.0,1.6666666666666667,1.1136206909920734,True
IDGX2,H5TO12,W5,count-0-365,IDGX2 -> H5TO12,3.0,1.5,1.2857142857142858,1.1136206909920734,True
IDGX2,H5TO12,W5,count-0-365,IDGX2 -> H5TO12,3.0,2.0,1.5,1.1136206909920734,True
IDGX2,H5TO12,W5,count-0-365,IDGX2 -> H5TO12,3.0,3.0,1.8,1.1136206909920734,True
IDGX2,H5TO12,W5,count-0-365,IDGX2 -> H5TO12,3.0,5.0,2.142857142857143,1.1136206909920734,True
IDGX2,H5TO12,W5,count-0-365,IDGX2 -> H5TO12,5.0,1.5,1.3636363636363635,1.1136206909920734,True
IDGX2,H5TO12,W5,count-0-365,IDGX2 -> H5TO12,5.0,2.0,1.6666666666666667,1.1136206909920734,True
IDGX2,H5TO12,W5,count-0-365,IDGX2 -> H5TO12,5.0,3.0,2.142857142857143,1.1136206909920734,True
IDGX2,H5TO12,W5,count-0-365,IDGX2 -> H5TO12,5.0,5.0,2.7777777777777777,1.1136206909920734,True
IDGX2,H5TO15,W5,count-0-365,IDGX2 -> H5TO15,1.5,1.5,1.125,1.0925222200472389,True
IDGX2,H5TO15,W5,count-0-365,IDGX2 -> H5TO15,1.5,2.0,1.2,1.0925222200472389,True
IDGX2,H5TO15,W5,count-0-365,IDGX2 -> H5TO15,1.5,3.0,1.2857142857142858,1.0925222200472389,True
IDGX2,H5TO15,W5,count-0-365,IDGX2 -> H5TO15,1.5,5.0,1.3636363636363635,1.0925222200472389,True
IDGX2,H5TO15,W5,count-0-365,IDGX2 -> H5TO15,2.0,1.5,1.2,1.0925222200472389,True
IDGX2,H5TO15,W5,count-0-365,IDGX2 -> H5TO15,2.0,2.0,1.3333333333333333,1.0925222200472389,True
IDGX2,H5TO15,W5,count-0-365,IDGX2 -> H5TO15,2.0,3.0,1.5,1.0925222200472389,True
IDGX2,H5TO15,W5,count-0-365,IDGX2 -> H5TO15,2.0,5.0,1.6666666666666667,1.0925222200472389,True
IDGX2,H5TO15,W5,count-0-365,IDGX2 -> H5TO15,3.0,1.5,1.2857142857142858,1.0925222200472389,True
IDGX2,H5TO15,W5,count-0-365,IDGX2 -> H5TO15,3.0,2.0,1.5,1.0925222200472389,True
IDGX2,H5TO15,W5,count-0-365,IDGX2 -> H5TO15,3.0,3.0,1.8,1.0925222200472389,True
IDGX2,H5TO15,W5,count-0-365,IDGX2 -> H5TO15,3.0,5.0,2.142857142857143,1.0925222200472389,True
IDGX2,H5TO15,W5,count-0-365,IDGX2 -> H5TO15,5.0,1.5,1.3636363636363635,1.0925222200472389,True
IDGX2,H5TO15,W5,count-0-365,IDGX2 -> H5TO15,5.0,2.0,1.6666666666666667,1.0925222200472389,True
IDGX2,H5TO15,W5,count-0-365,IDGX2 -> H5TO15,5.0,3.0,2.142857142857143,1.0925222200472389,True
IDGX2,H5TO15,W5,count-0-365,IDGX2 -> H5TO15,5.0,5.0,2.7777777777777777,1.0925222200472389,True
