exposure,outcome,outcome_group,label,rr_au,rr_uy,B,rr_observed,explains_away
IDGX2,W4_COG_COMP,cognitive,IDGX2 -> W4_COG_COMP,1.5,1.5,1.125,1.0411634919253367,True
IDGX2,W4_COG_COMP,cognitive,IDGX2 -> W4_COG_COMP,1.5,2.0,1.2,1.0411634919253367,True
IDGX2,W4_COG_COMP,cognitive,IDGX2 -> W4_COG_COMP,1.5,3.0,1.2857142857142858,1.0411634919253367,True
IDGX2,W4_COG_COMP,cognitive,IDGX2 -> W4_COG_COMP,1.5,5.0,1.3636363636363635,1.0411634919253367,True
IDGX2,W4_COG_COMP,cognitive,IDGX2 -> W4_COG_COMP,2.0,1.5,1.2,1.0411634919253367,True
IDGX2,W4_COG_COMP,cognitive,IDGX2 -> W4_COG_COMP,2.0,2.0,1.3333333333333333,1.0411634919253367,True
IDGX2,W4_COG_COMP,cognitive,IDGX2 -> W4_COG_COMP,2.0,3.0,1.5,1.0411634919253367,True
IDGX2,W4_COG_COMP,cognitive,IDGX2 -> W4_COG_COMP,2.0,5.0,1.6666666666666667,1.0411634919253367,True
IDGX2,W4_COG_COMP,cognitive,IDGX2 -> W4_COG_COMP,3.0,1.5,1.2857142857142858,1.0411634919253367,True
IDGX2,W4_COG_COMP,cognitive,IDGX2 -> W4_COG_COMP,3.0,2.0,1.5,1.0411634919253367,True
IDGX2,W4_COG_COMP,cognitive,IDGX2 -> W4_COG_COMP,3.0,3.0,1.8,1.0411634919253367,True
IDGX2,W4_COG_COMP,cognitive,IDGX2 -> W4_COG_COMP,3.0,5.0,2.142857142857143,1.0411634919253367,True
IDGX2,W4_COG_COMP,cognitive,IDGX2 -> W4_COG_COMP,5.0,1.5,1.3636363636363635,1.0411634919253367,True
IDGX2,W4_COG_COMP,cognitive,IDGX2 -> W4_COG_COMP,5.0,2.0,1.6666666666666667,1.0411634919253367,True
IDGX2,W4_COG_COMP,cognitive,IDGX2 -> W4_COG_COMP,5.0,3.0,2.142857142857143,1.0411634919253367,True
IDGX2,W4_COG_COMP,cognitive,IDGX2 -> W4_COG_COMP,5.0,5.0,2.7777777777777777,1.0411634919253367,True
IDGX2,H4BMI,cardiometabolic,IDGX2 -> H4BMI,1.5,1.5,1.125,1.0935642854854122,True
IDGX2,H4BMI,cardiometabolic,IDGX2 -> H4BMI,1.5,2.0,1.2,1.0935642854854122,True
IDGX2,H4BMI,cardiometabolic,IDGX2 -> H4BMI,1.5,3.0,1.2857142857142858,1.0935642854854122,True
IDGX2,H4BMI,cardiometabolic,IDGX2 -> H4BMI,1.5,5.0,1.3636363636363635,1.0935642854854122,True
IDGX2,H4BMI,cardiometabolic,IDGX2 -> H4BMI,2.0,1.5,1.2,1.0935642854854122,True
IDGX2,H4BMI,cardiometabolic,IDGX2 -> H4BMI,2.0,2.0,1.3333333333333333,1.0935642854854122,True
IDGX2,H4BMI,cardiometabolic,IDGX2 -> H4BMI,2.0,3.0,1.5,1.0935642854854122,True
