label,exposure,outcome,binarisation,eta_1,eta_0,ate_perturbed,ate_baseline,ate_shift
IDGX2 -> H4WAIST,IDGX2,H4WAIST,top-quintile-vs-bottom,0.8,0.8,16.839359961195985,-5.285480497147611,22.124840458343595
IDGX2 -> H4WAIST,IDGX2,H4WAIST,top-quintile-vs-bottom,0.8,0.9,11.774487486900554,-5.285480497147611,17.059967984048164
IDGX2 -> H4WAIST,IDGX2,H4WAIST,top-quintile-vs-bottom,0.8,1.0,6.709615012605123,-5.285480497147611,11.995095509752733
IDGX2 -> H4WAIST,IDGX2,H4WAIST,top-quintile-vs-bottom,0.8,1.1,1.644742538309686,-5.285480497147611,6.930223035457297
IDGX2 -> H4WAIST,IDGX2,H4WAIST,top-quintile-vs-bottom,0.8,1.2,-3.4201299359857398,-5.285480497147611,1.865350561161871
IDGX2 -> H4WAIST,IDGX2,H4WAIST,top-quintile-vs-bottom,0.9,0.8,10.175418011333353,-5.285480497147611,15.460898508480962
IDGX2 -> H4WAIST,IDGX2,H4WAIST,top-quintile-vs-bottom,0.9,0.9,5.110545537037924,-5.285480497147611,10.396026034185535
IDGX2 -> H4WAIST,IDGX2,H4WAIST,top-quintile-vs-bottom,0.9,1.0,0.04567306274249228,-5.285480497147611,5.331153559890103
IDGX2 -> H4WAIST,IDGX2,H4WAIST,top-quintile-vs-bottom,0.9,1.1,-5.019199411552944,-5.285480497147611,0.2662810855946667
IDGX2 -> H4WAIST,IDGX2,H4WAIST,top-quintile-vs-bottom,0.9,1.2,-10.08407188584837,-5.285480497147611,-4.79859138870076
IDGX2 -> H4WAIST,IDGX2,H4WAIST,top-quintile-vs-bottom,1.0,0.8,4.844264451443252,-5.285480497147611,10.129744948590861
IDGX2 -> H4WAIST,IDGX2,H4WAIST,top-quintile-vs-bottom,1.0,0.9,-0.2206080228521801,-5.285480497147611,5.064872474295431
IDGX2 -> H4WAIST,IDGX2,H4WAIST,top-quintile-vs-bottom,1.0,1.0,-5.285480497147611,-5.285480497147611,0.0
IDGX2 -> H4WAIST,IDGX2,H4WAIST,top-quintile-vs-bottom,1.0,1.1,-10.350352971443048,-5.285480497147611,-5.064872474295437
IDGX2 -> H4WAIST,IDGX2,H4WAIST,top-quintile-vs-bottom,1.0,1.2,-15.415225445738471,-5.285480497147611,-10.129744948590861
IDGX2 -> H4WAIST,IDGX2,H4WAIST,top-quintile-vs-bottom,1.1,0.8,0.4824115388058884,-5.285480497147611,5.7678920359534995
IDGX2 -> H4WAIST,IDGX2,H4WAIST,top-quintile-vs-bottom,1.1,0.9,-4.582460935489543,-5.285480497147611,0.7030195616580679
IDGX2 -> H4WAIST,IDGX2,H4WAIST,top-quintile-vs-bottom,1.1,1.0,-9.647333409784975,-5.285480497147611,-4.361852912637365
IDGX2 -> H4WAIST,IDGX2,H4WAIST,top-quintile-vs-bottom,1.1,1.1,-14.712205884080408,-5.285480497147611,-9.426725386932798
IDGX2 -> H4WAIST,IDGX2,H4WAIST,top-quintile-vs-bottom,1.1,1.2,-19.777078358375835,-5.285480497147611,-14.491597861228225
