exposure,outcome,outcome_group,beta,p,rr_proxy_unit_exposure,evalue_unit_exposure
IDGX2,W4_COG_COMP,cognitive,0.009263823101364678,0.015366830758031594,1.0093068651191355,1.1062268468436554
IDGX2,H4BMI,cardiometabolic,-0.19985610944848214,6.828839480303309e-09,1.2212270224873274,1.7410042997570594
IDGX2,H4WAIST,cardiometabolic,-0.5138444657946202,1.867217639823543e-11,1.6717056722016865,2.731372687008511
IDGX2,H4BMICLS,cardiometabolic,-0.03227963373661734,4.973692528082508e-08,1.0328062724058797,1.216878334150862
IDGX2,H5ID1,functional,-0.02198122688897557,8.89307718157705e-06,1.0222245939545118,1.172951255600535
IDGX2,H5ID4,functional,-0.01047121059570948,0.0004183106759728885,1.0105262255781908,1.113662189252914
IDGX2,H5LM5,ses,-0.006260271204972081,0.006048501457626119,1.006279907657873,1.085774214989055
IDGX2,H5EC1,ses,0.06719564861075492,0.000505512290474433,1.069504704816175,1.3421502784236674
ODGX2,W4_COG_COMP,cognitive,0.014233524389399663,0.0006973343189320301,1.0143353033153,1.134920560442536
ODGX2,H5ID1,functional,-0.018416616833183803,0.01310020190003821,1.0185872485980174,1.1561835218341117
ODGX2,H5ID4,functional,-0.009385367418999471,0.01635645095849685,1.0094295480888984,1.1069921662685027
ODGX2,H5EC1,ses,0.09930797588317308,0.00013019207968547732,1.104406377717818,1.44397532421613
