exposure,outcome,outcome_group,label,beta,p,sd_x,sd_y,rr_basis,rr,evalue
IDGX2,W4_COG_COMP,cognitive,IDGX2 -> W4_COG_COMP,0.009263823101364678,0.015366830758031594,3.68262703680254,0.7696018174269023,chinn-2000,1.0411634919253367,1.2481850487565616
IDGX2,H4BMI,cardiometabolic,IDGX2 -> H4BMI,-0.19985610944848214,6.828839480303309e-09,3.68262703680254,7.488129839207538,chinn-2000,0.9144409828235376,1.413437011743541
IDGX2,H4WAIST,cardiometabolic,IDGX2 -> H4WAIST,-0.5138444657946202,1.867217639823543e-11,3.68262703680254,17.62916016470102,chinn-2000,0.9069403958327314,1.4389663630212737
IDGX2,H4SBP,cardiometabolic,IDGX2 -> H4SBP,-0.08417229006833396,0.2684240508286665,3.68262703680254,13.723490712305665,chinn-2000,0.9796554538784514,1.1663634439415989
IDGX2,H4DBP,cardiometabolic,IDGX2 -> H4DBP,-0.09307794548019771,0.08648093000053218,3.68262703680254,10.350684979451811,chinn-2000,0.9703141531033593,1.2081610975539034
IDGX2,H4BMICLS,cardiometabolic,IDGX2 -> H4BMICLS,-0.03227963373661734,4.973692528082508e-08,3.68262703680254,1.2892843767538902,chinn-2000,0.9195201755199116,1.3960429541922061
IDGX2,H5MN1,mental_health,IDGX2 -> H5MN1,-0.012348608765194802,0.06451196571895394,3.68262703680254,1.052259652418585,chinn-2000,0.9614359699336575,1.2443649936663341
IDGX2,H5MN2,mental_health,IDGX2 -> H5MN2,0.010664968565486085,0.05352504068207517,3.68262703680254,0.9449202590801405,chinn-2000,1.0385480789824582,1.238633144331414
IDGX2,H5ID1,functional,IDGX2 -> H5ID1,-0.02198122688897557,8.89307718157705e-06,3.68262703680254,0.9817523284987635,chinn-2000,0.927713382955421,1.3677303027877654
IDGX2,H5ID4,functional,IDGX2 -> H5ID4,-0.01047121059570948,0.0004183106759728885,3.68262703680254,0.5519349622758285,chinn-2000,0.9384007485629384,1.3301267787815547
IDGX2,H5ID16,functional,IDGX2 -> H5ID16,0.004762501568798485,0.5856786337267658,3.68262703680254,1.343194908834103,chinn-2000,1.0119530285392069,1.1219344061922714
IDGX2,H5LM5,ses,IDGX2 -> H5LM5,-0.006260271204972081,0.006048501457626119,3.68262703680254,0.39783067041437103,chinn-2000,0.9486319348770568,1.2930676225221958
IDGX2,H5EC1,ses,IDGX2 -> H5EC1,0.06719564861075492,0.000505512290474433,3.68262703680254,3.261990749766246,chinn-2000,1.0714717046877027,1.3482024569698965
ODGX2,W4_COG_COMP,cognitive,ODGX2 -> W4_COG_COMP,0.014233524389399663,0.0006973343189320301,3.059908583215301,0.7696018174269023,chinn-2000,1.052847810506778,1.2887306237470357
ODGX2,H4BMI,cardiometabolic,ODGX2 -> H4BMI,-0.008641091267448428,0.8746766757574058,3.059908583215301,7.488129839207538,chinn-2000,0.9967919028772418,1.0600407801854081
ODGX2,H4WAIST,cardiometabolic,ODGX2 -> H4WAIST,-0.15332415992473744,0.21364713491423296,3.059908583215301,17.62916016470102,chinn-2000,0.9760734175865646,1.1829870348987126
ODGX2,H4SBP,cardiometabolic,ODGX2 -> H4SBP,-0.0447261728744737,0.6143909667193328,3.059908583215301,13.723490712305665,chinn-2000,0.9909660461638689,1.105029902901004
ODGX2,H4DBP,cardiometabolic,ODGX2 -> H4DBP,-0.004949663278347866,0.9414066044962289,3.059908583215301,10.350684979451811,chinn-2000,0.998669339397705,1.0378592593582125
ODGX2,H4BMICLS,cardiometabolic,ODGX2 -> H4BMICLS,0.0016253413595055091,0.8580576448592769,3.059908583215301,1.2892843767538902,chinn-2000,1.003516480298085,1.0629205704920417
ODGX2,H5MN1,mental_health,ODGX2 -> H5MN1,-0.016731018335512878,0.06027218358672176,3.059908583215301,1.052259652418585,chinn-2000,0.9566917353073758,1.2627958763751748
ODGX2,H5MN2,mental_health,ODGX2 -> H5MN2,0.00884837421452217,0.22367789279532166,3.059908583215301,0.9449202590801405,chinn-2000,1.0264175478224453,1.1910851969081007
ODGX2,H5ID1,functional,ODGX2 -> H5ID1,-0.018416616833183803,0.01310020190003821,3.059908583215301,0.9817523284987635,chinn-2000,0.9491062393936277,1.2913164031033961
ODGX2,H5ID4,functional,ODGX2 -> H5ID4,-0.009385367418999471,0.01635645095849685,3.059908583215301,0.5519349622758285,chinn-2000,0.9537542289271391,1.2739637346218664
ODGX2,H5ID16,functional,ODGX2 -> H5ID16,-0.004778708186160335,0.6591301596974505,3.059908583215301,1.343194908834103,chinn-2000,0.9901423834740116,1.1102297494206788
ODGX2,H5LM5,ses,ODGX2 -> H5LM5,-0.004213685658480572,0.1710923660343229,3.059908583215301,0.39783067041437103,chinn-2000,0.9709380193070002,1.205510264129393
ODGX2,H5EC1,ses,ODGX2 -> H5EC1,0.09930797588317308,0.00013019207968547732,3.059908583215301,3.261990749766246,chinn-2000,1.088468616722895,1.3987834775783774
