outcome,outcome_label,outcome_group,adj_tier,n,beta_pc1,se_pc1,p_pc1,ci_lo_pc1,ci_hi_pc1,pca_explained_variance_ratio_pc1
W4_COG_COMP,W4 cognitive composite,cognitive,L0+L1+AHPVT,2591,0.014036501722190169,0.007294752492011709,0.05686802164559751,-0.0004171152619805215,0.02849011870636086,0.20069917411364324
H4BMI,S27 BMI—W4,cardiometabolic,L0+L1+AHPVT,2560,0.037173912100331816,0.08921354865205655,0.6777066209558051,-0.13959129870394904,0.21393912290461264,0.20069917411364324
H4WAIST,S27 MEASURED WAIST (CM)—W4,cardiometabolic,L0+L1+AHPVT,2573,-0.15293441162960428,0.20911475609031155,0.46609763068237253,-0.5672684954216808,0.2613996721624723,0.20069917411364324
H4SBP,S27 SYSTOLIC BLOOD PRESSURE—W4,cardiometabolic,L0+L1+AHPVT,2532,0.07412392511839963,0.14217054339636828,0.6031361774059973,-0.2075687824728131,0.3558166327096124,0.20069917411364324
H4DBP,S27 DIASTOLIC BLOOD PRESSURE—W4,cardiometabolic,L0+L1+AHPVT,2532,0.0791641265939286,0.11226660020942525,0.48218449385243284,-0.1432777508130129,0.3016060040008701,0.20069917411364324
H4BMICLS,S27 BMI CLASS—W4,cardiometabolic,L0+L1+AHPVT,2560,0.008861062821020192,0.014663755808865767,0.5468774521576097,-0.020193289638895138,0.03791541528093552,0.20069917411364324
H5MN1,S13Q1 LAST MO NO CNTRL IMPORT THINGS—W5,mental_health,L0+L1,2008,-0.022285126667131783,0.015103280131252204,0.14287975525004656,-0.052210340231376204,0.0076400868971126384,0.20069917411364324
H5MN2,S13Q2 LAST MO CONFID HANDLE PERS PBMS—W5,mental_health,L0+L1,2005,0.00541039600661096,0.011368099850718067,0.6350527719687284,-0.01711403662630135,0.02793482863952327,0.20069917411364324
H5ID1,S5Q1 HOW IS GEN PHYSICAL HEALTH—W5,functional,L0+L1,2049,-0.01527131387002702,0.013233592595512381,0.25096448598784177,-0.04149198124833102,0.010949353508276981,0.20069917411364324
H5ID4,S5Q4 LIMIT CLIMB SEV. FLIGHT STAIRS—W5,functional,L0+L1,2049,-0.010258430609449,0.006373380203578901,0.11030583801798789,-0.022886466510310843,0.002369605291412842,0.20069917411364324
H5ID16,S5Q16 HOW OFTEN TROUBLE SLEEPING—W5,functional,L0+L1,2049,-0.01731351148763182,0.017612371355021368,0.32771085321958054,-0.05221016768360596,0.017583144708342317,0.20069917411364324
H5LM5,S3Q5 CURRENTLY WORK—W5,ses,L0+L1,2046,-0.006346105043862282,0.004982567095119191,0.20542021328398913,-0.016218423051861556,0.0035262129641369907,0.20069917411364324
H5EC1,S4Q1 INCOME PERS EARNINGS [W4–W5]—W5,ses,L0+L1,2030,0.07746725399963114,0.04661154581276846,0.09931414192186326,-0.014887549121603949,0.16982205712086623,0.20069917411364324
