exposure,outcome,outcome_label,outcome_group,adj_tier,beta_q2_vs_q1,p_q2_vs_q1,beta_q3_vs_q1,p_q3_vs_q1,beta_q4_vs_q1,p_q4_vs_q1,beta_q5_vs_q1,p_q5_vs_q1,beta_trend,se_trend,p_trend
IDGX2,W4_COG_COMP,W4 cognitive composite,cognitive,L0+L1+AHPVT,0.07710965833090395,0.06904311373306354,0.07038454269784065,0.08255017322844234,0.0846057068591733,0.04835491040892918,0.0964622774384252,0.023861966425435383,0.02001095996922954,0.00956714477680818,0.03873183199194655
IDGX2,H4BMI,S27 BMI—W4,cardiometabolic,L0+L1+AHPVT,-0.6387577179499808,0.1981308819613755,-1.1597674964432017,0.02852925666137222,-1.7666203850622781,0.00014953517111803336,-2.2781686948626048,2.7016874761013906e-07,-0.5683371492084639,0.09028752965812271,6.177551184718344e-09
IDGX2,H4WAIST,S27 MEASURED WAIST (CM)—W4,cardiometabolic,L0+L1+AHPVT,-1.1701084654429845,0.292581423027707,-1.9392142263127141,0.10715033613431559,-4.112221045118158,6.4768288856443e-05,-5.225195978523936,5.306135244232497e-08,-1.339711122746381,0.19421095422291265,3.3047738492423e-10
IDGX2,H4SBP,S27 SYSTOLIC BLOOD PRESSURE—W4,cardiometabolic,L0+L1+AHPVT,0.04407752172887647,0.9563277546760841,-0.33582063687282293,0.7228606538047926,-0.8712935370238851,0.3027176749226071,-1.1264910463694573,0.22464805945473307,-0.3169921325416565,0.20265791893326693,0.12059804337636525
IDGX2,H4DBP,S27 DIASTOLIC BLOOD PRESSURE—W4,cardiometabolic,L0+L1+AHPVT,0.10593885612158865,0.8775638793791601,-0.09701663218125911,0.8984268867066781,-0.23056655850395721,0.738231291301262,-1.0997305802329023,0.13926130215744034,-0.25738171599386095,0.15157217786998395,0.09226933034562654
IDGX2,H4BMICLS,S27 BMI CLASS—W4,cardiometabolic,L0+L1+AHPVT,-0.09045557782470068,0.26617677932104866,-0.18334397508891828,0.040089644622311,-0.2547055047907931,0.001537381047078327,-0.35777303745764644,1.469238034818101e-06,-0.08802074287480745,0.015660006702397682,1.410376547169391e-07
IDGX2,H5MN1,S13Q1 LAST MO NO CNTRL IMPORT THINGS—W5,mental_health,L0+L1,-0.09025818594792485,0.2766840149703603,-0.018652153973459304,0.8064452019068105,-0.12970444645359983,0.09948430790224201,-0.1441401587237331,0.0826086644122628,-0.03323615370602821,0.017178770782479983,0.05554646416159037
IDGX2,H5MN2,S13Q2 LAST MO CONFID HANDLE PERS PBMS—W5,mental_health,L0+L1,0.11316787259853434,0.1369410283288377,0.09913317504775374,0.1654348659855633,0.06282774256442898,0.350321894790604,0.16921069160599778,0.01879471579779835,0.028681487039572517,0.014761778988686377,0.05453135286376672
IDGX2,H5ID1,S5Q1 HOW IS GEN PHYSICAL HEALTH—W5,functional,L0+L1,-0.13029197909589144,0.04247717947308717,-0.10294277189930834,0.13637798718125843,-0.2263791716729159,0.0007330591253188127,-0.2519331697345081,0.00015125985314196394,-0.06022109714023295,0.014856804500439533,9.348519429143333e-05
IDGX2,H5ID4,S5Q4 LIMIT CLIMB SEV. FLIGHT STAIRS—W5,functional,L0+L1,-0.057385384026029,0.14051161492490433,-0.06957355127795385,0.09214386215459806,-0.12238526833406896,0.0009549317035407301,-0.1250582554394128,0.0006604344052730408,-0.03147112235874529,0.008129960945217578,0.0001826566250178554
IDGX2,H5ID16,S5Q16 HOW OFTEN TROUBLE SLEEPING—W5,functional,L0+L1,-0.04264771753997826,0.6430041614295342,0.04309123319358123,0.637129588314858,-0.01963007726503429,0.8464479269915598,0.023758856296340405,0.8079811469540005,0.006754330742118701,0.02183086284413108,0.7575969449090557
IDGX2,H5LM5,S3Q5 CURRENTLY WORK—W5,ses,L0+L1,-0.02266136998034235,0.4057450011026652,-0.04789983973005766,0.06932015374646183,-0.05246090393575005,0.06320222854283084,-0.07466389585235866,0.007232756123259677,-0.01781867418324906,0.006221739878556731,0.004996639601902406
IDGX2,H5EC1,S4Q1 INCOME PERS EARNINGS [W4–W5]—W5,ses,L0+L1,0.28462077281140113,0.21996853214909784,0.2840919198104209,0.15343602425429775,0.8448770090576025,3.2054962186566684e-05,0.7715399129806984,0.0005378591615427946,0.21149654278679303,0.0504390068618168,5.5228904009638835e-05
ODGX2,W4_COG_COMP,W4 cognitive composite,cognitive,L0+L1+AHPVT,0.04021030822809455,0.3899823105645567,0.07266335456892595,0.22895997863770695,0.10569305922854483,0.012028122820678699,0.11124979797122851,0.007648157092975647,0.02847288682420193,0.008849992657920377,0.0016924508346229047
ODGX2,H4BMI,S27 BMI—W4,cardiometabolic,L0+L1+AHPVT,-0.7053892969064048,0.17616766057210492,-0.680763047913759,0.2114855738110265,-0.3322985848587672,0.4594899897900796,-0.2372097795680146,0.6679194513393472,-0.005379565841456629,0.11287120550699799,0.9620712206078383
ODGX2,H4WAIST,S27 MEASURED WAIST (CM)—W4,cardiometabolic,L0+L1+AHPVT,-1.6691827916322195,0.15810883632083136,-1.9352730499774475,0.1344476893268567,-1.421407039842653,0.18264519079913152,-1.5150221648406763,0.22246538342023825,-0.26756667039983667,0.25543066261470765,0.2971188345835482
ODGX2,H4SBP,S27 SYSTOLIC BLOOD PRESSURE—W4,cardiometabolic,L0+L1+AHPVT,-0.5895472620780113,0.5246007282804185,-1.6237577172572522,0.08376240813982531,-1.4540181626497217,0.11171270489959449,-0.4846941369758335,0.5675127813120783,-0.16347644935054184,0.18917359316377969,0.3893464093001629
