file_name,rel_path,wave,category,n_rows,n_cols,has_aid,aid_col,error
w1context.sas7bdat,data/W1/w1context.sas7bdat,Wave 1,context,6504,32,True,AID,
w1inhome.sas7bdat,data/W1/w1inhome.sas7bdat,Wave 1,core_survey,6504,2794,True,AID,
w1network.sas7bdat,data/W1/w1network.sas7bdat,Wave 1,network,6504,439,True,AID,
w1weight.sas7bdat,data/W1/w1weight.sas7bdat,Wave 1,weights,6504,3,True,AID,
w2context.sas7bdat,data/W2/w2context.sas7bdat,Wave 2,context,4834,32,True,AID,
w2inhome.sas7bdat,data/W2/w2inhome.sas7bdat,Wave 2,core_survey,4834,2532,True,AID,
w2weight.sas7bdat,data/W2/w2weight.sas7bdat,Wave 2,weights,4834,3,True,AID,
w3birth.sas7bdat,data/W3/w3birth.sas7bdat,Wave 3,auxiliary,1357,20,True,AID,
w3child.sas7bdat,data/W3/w3child.sas7bdat,Wave 3,auxiliary,1323,74,True,AID,
w3cmplpreg.sas7bdat,data/W3/w3cmplpreg.sas7bdat,Wave 3,auxiliary,2163,39,True,AID,
w3currpreg.sas7bdat,data/W3/w3currpreg.sas7bdat,Wave 3,auxiliary,180,39,True,AID,
w3educatn.sas7bdat,data/W3/w3educatn.sas7bdat,Wave 3,auxiliary,3947,80,True,AID,
w3eduwgt.sas7bdat,data/W3/w3eduwgt.sas7bdat,Wave 3,weights,3964,3,True,AID,
w3graduatn.sas7bdat,data/W3/w3graduatn.sas7bdat,Wave 3,auxiliary,4521,4,True,AID,
w3inhome.sas7bdat,data/W3/w3inhome.sas7bdat,Wave 3,core_survey,4882,1831,True,AID,
w3partner.sas7bdat,data/W3/w3partner.sas7bdat,Wave 3,auxiliary,13998,19,True,AID,
w3pregnancy.sas7bdat,data/W3/w3pregnancy.sas7bdat,Wave 3,auxiliary,2348,7,True,AID,
w3prtnrdtail.sas7bdat,data/W3/w3prtnrdtail.sas7bdat,Wave 3,auxiliary,12680,208,True,AID,
w3pvt.sas7bdat,data/W3/w3pvt.sas7bdat,Wave 3,auxiliary,4882,8,True,AID,
w3schwgt.sas7bdat,data/W3/w3schwgt.sas7bdat,Wave 3,weights,132,2,False,,
w3weight.sas7bdat,data/W3/w3weight.sas7bdat,Wave 3,weights,4882,4,True,AID,
w4birth.sas7bdat,data/W4/w4birth.sas7bdat,Wave 4,auxiliary,4828,17,True,AID,
w4child.sas7bdat,data/W4/w4child.sas7bdat,Wave 4,auxiliary,4756,46,True,AID,
w4ebv_hscrp.sas7bdat,data/W4/w4ebv_hscrp.sas7bdat,Wave 4,biomarker,5114,16,True,AID,
w4glucose.sas7bdat,data/W4/w4glucose.sas7bdat,Wave 4,biomarker,5114,10,True,AID,
w4inhome.sas7bdat,data/W4/w4inhome.sas7bdat,Wave 4,core_survey,5114,920,True,AID,
w4lipid.sas7bdat,data/W4/w4lipid.sas7bdat,Wave 4,biomarker,5114,14,True,AID,
w4partner.sas7bdat,data/W4/w4partner.sas7bdat,Wave 4,auxiliary,9919,14,True,AID,
w4pregnancy.sas7bdat,data/W4/w4pregnancy.sas7bdat,Wave 4,auxiliary,7081,17,True,AID,
w4segment.sas7bdat,data/W4/w4segment.sas7bdat,Wave 4,auxiliary,11849,8,True,AID,
w4weight.sas7bdat,data/W4/w4weight.sas7bdat,Wave 4,weights,5114,5,True,AID,
p5weight.xpt,data/W5/p5weight.xpt,Wave 5,weights,4196,6,True,AID,
panthro5.xpt,data/W5/panthro5.xpt,Wave 5,biomarker,1839,13,True,AID,
pcardio5.xpt,data/W5/pcardio5.xpt,Wave 5,biomarker,1839,31,True,AID,
pcrp5.xpt,data/W5/pcrp5.xpt,Wave 5,biomarker,1839,26,True,AID,
pdemo5.xpt,data/W5/pdemo5.xpt,Wave 5,core_survey,1839,12,True,AID,
pglua1c5.xpt,data/W5/pglua1c5.xpt,Wave 5,biomarker,1839,11,True,AID,
plipids5.xpt,data/W5/plipids5.xpt,Wave 5,biomarker,1839,26,True,AID,
pmeds5.xpt,data/W5/pmeds5.xpt,Wave 5,biomarker,3883,31,True,AID,
prenal5.xpt,data/W5/prenal5.xpt,Wave 5,biomarker,1839,14,True,AID,
psec16b.xpt,data/W5/psec16b.xpt,Wave 5,section_subset,6188,38,True,AID,
pwave5.xpt,data/W5/pwave5.xpt,Wave 5,core_survey,4196,789,True,AID,
p6weight.sas7bdat,data/W6/p6weight.sas7bdat,Wave 6,weights,3937,5,True,AID,
panthro6.sas7bdat,data/W6/panthro6.sas7bdat,Wave 6,biomarker,2010,14,True,AID,
pbgluaic6.sas7bdat,data/W6/pbgluaic6.sas7bdat,Wave 6,other,2010,11,True,AID,
pbhepat6.sas7bdat,data/W6/pbhepat6.sas7bdat,Wave 6,biomarker,2010,6,True,AID,
pblipids6.sas7bdat,data/W6/pblipids6.sas7bdat,Wave 6,biomarker,2010,26,True,AID,
pcardio6.sas7bdat,data/W6/pcardio6.sas7bdat,Wave 6,biomarker,2010,33,True,AID,
pdemo6.sas7bdat,data/W6/pdemo6.sas7bdat,Wave 6,core_survey,2010,9,True,AID,
pmeds6.sas7bdat,data/W6/pmeds6.sas7bdat,Wave 6,biomarker,5523,37,True,AID,
pwave6.sas7bdat,data/W6/pwave6.sas7bdat,Wave 6,core_survey,3937,1002,True,AID,
