,p5weight.xpt,p6weight.sas7bdat,panthro5.xpt,panthro6.sas7bdat,pbgluaic6.sas7bdat,pbhepat6.sas7bdat,pblipids6.sas7bdat,pcardio5.xpt,pcardio6.sas7bdat,pcrp5.xpt,pdemo5.xpt,pdemo6.sas7bdat,pglua1c5.xpt,plipids5.xpt,pmeds5.xpt,pmeds6.sas7bdat,prenal5.xpt,psec16b.xpt,pwave5.xpt,pwave6.sas7bdat,w1context.sas7bdat,w1inhome.sas7bdat,w1network.sas7bdat,w1weight.sas7bdat,w2context.sas7bdat,w2inhome.sas7bdat,w2weight.sas7bdat,w3birth.sas7bdat,w3child.sas7bdat,w3cmplpreg.sas7bdat,w3currpreg.sas7bdat,w3educatn.sas7bdat,w3eduwgt.sas7bdat,w3graduatn.sas7bdat,w3inhome.sas7bdat,w3partner.sas7bdat,w3pregnancy.sas7bdat,w3prtnrdtail.sas7bdat,w3pvt.sas7bdat,w3weight.sas7bdat,w4birth.sas7bdat,w4child.sas7bdat,w4ebv_hscrp.sas7bdat,w4glucose.sas7bdat,w4inhome.sas7bdat,w4lipid.sas7bdat,w4partner.sas7bdat,w4pregnancy.sas7bdat,w4segment.sas7bdat,w4weight.sas7bdat
p5weight.xpt,4196,3282,1839,1793,1793,1793,1793,1839,1793,1839,1839,1793,1839,1839,1839,1793,1839,2814,4196,3282,4196,4196,4196,4196,3192,3192,3192,646,636,896,120,2832,2843,3212,3444,2865,956,2865,3444,3444,1779,1771,3713,3713,3713,3713,3633,2163,3633,3713
p6weight.sas7bdat,3282,3937,1650,2010,2010,2010,2010,1650,2010,1650,1650,2010,1650,1650,1650,2010,1650,2244,3282,3937,3937,3937,3937,3937,3019,3019,3019,627,620,866,122,2668,2680,3022,3224,2686,926,2686,3224,3224,1725,1720,3499,3499,3499,3499,3427,2083,3427,3499
panthro5.xpt,1839,1650,1839,1252,1252,1252,1252,1839,1252,1839,1839,1252,1839,1839,1839,1252,1839,1242,1839,1650,1839,1839,1839,1839,1451,1451,1451,279,275,387,50,1318,1327,1505,1593,1346,408,1346,1593,1593,804,799,1760,1760,1760,1760,1723,986,1723,1760
panthro6.sas7bdat,1793,2010,1252,2010,2010,2010,2010,1252,2010,1252,1252,2010,1252,1252,1252,2010,1252,1235,1793,2010,2010,2010,2010,2010,1570,1570,1570,327,325,459,64,1418,1421,1612,1709,1445,486,1445,1709,1709,920,915,1889,1889,1889,1889,1855,1115,1855,1889
pbgluaic6.sas7bdat,1793,2010,1252,2010,2010,2010,2010,1252,2010,1252,1252,2010,1252,1252,1252,2010,1252,1235,1793,2010,2010,2010,2010,2010,1570,1570,1570,327,325,459,64,1418,1421,1612,1709,1445,486,1445,1709,1709,920,915,1889,1889,1889,1889,1855,1115,1855,1889
pbhepat6.sas7bdat,1793,2010,1252,2010,2010,2010,2010,1252,2010,1252,1252,2010,1252,1252,1252,2010,1252,1235,1793,2010,2010,2010,2010,2010,1570,1570,1570,327,325,459,64,1418,1421,1612,1709,1445,486,1445,1709,1709,920,915,1889,1889,1889,1889,1855,1115,1855,1889
pblipids6.sas7bdat,1793,2010,1252,2010,2010,2010,2010,1252,2010,1252,1252,2010,1252,1252,1252,2010,1252,1235,1793,2010,2010,2010,2010,2010,1570,1570,1570,327,325,459,64,1418,1421,1612,1709,1445,486,1445,1709,1709,920,915,1889,1889,1889,1889,1855,1115,1855,1889
pcardio5.xpt,1839,1650,1839,1252,1252,1252,1252,1839,1252,1839,1839,1252,1839,1839,1839,1252,1839,1242,1839,1650,1839,1839,1839,1839,1451,1451,1451,279,275,387,50,1318,1327,1505,1593,1346,408,1346,1593,1593,804,799,1760,1760,1760,1760,1723,986,1723,1760
pcardio6.sas7bdat,1793,2010,1252,2010,2010,2010,2010,1252,2010,1252,1252,2010,1252,1252,1252,2010,1252,1235,1793,2010,2010,2010,2010,2010,1570,1570,1570,327,325,459,64,1418,1421,1612,1709,1445,486,1445,1709,1709,920,915,1889,1889,1889,1889,1855,1115,1855,1889
pcrp5.xpt,1839,1650,1839,1252,1252,1252,1252,1839,1252,1839,1839,1252,1839,1839,1839,1252,1839,1242,1839,1650,1839,1839,1839,1839,1451,1451,1451,279,275,387,50,1318,1327,1505,1593,1346,408,1346,1593,1593,804,799,1760,1760,1760,1760,1723,986,1723,1760
